#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
891958	29956	27173	118992	118050	RP11-316M1.2	CGI-08	CERS2	SLC39A1	L3|LASS2|SP260|TMSG1	ZIP1|ZIRTL	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1052034	4343	27173	110484	118050	RP11-426L16.2	CGI-08	MOV10	SLC39A1	fSAP113|gb110	ZIP1|ZIRTL	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1052979	10482	27173	115745	118050	-	CGI-08	NXF1	SLC39A1	MEX67|TAP	ZIP1|ZIRTL	Affinity Capture-RNA	physical	Castello A (2012)	22658674	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1054687	4854	27173	110916	118050	-	CGI-08	NOTCH3	SLC39A1	CADASIL|CASIL|IMF2	ZIP1|ZIRTL	Reconstituted Complex	physical	Jung JG (2014)	25356737	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1184953	27173	55341	118050	120622	CGI-08	-	SLC39A1	LSG1	ZIP1|ZIRTL	-	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.777494901	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.777494901, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1184954	27173	6830	118050	112698	CGI-08	-	SLC39A1	SUPT6H	ZIP1|ZIRTL	SPT6|SPT6H|emb-5	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.782712805	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.782712805, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1188311	64805	27173	122309	118050	-	CGI-08	P2RY12	SLC39A1	ADPG-R|BDPLT8|HORK3|P2T(AC)|P2Y(12)R|P2Y(AC)|P2Y(ADP)|P2Y(cyc)|P2Y12|SP1999	ZIP1|ZIRTL	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.997819315	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.997819315, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1193644	5733	27173	111705	118050	RP5-952N6.2	CGI-08	PTGER3	SLC39A1	EP3|EP3-I|EP3-II|EP3-III|EP3-IV|EP3e|PGE2-R	ZIP1|ZIRTL	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.926578261	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.926578261, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1195216	1902	27173	108226	118050	RP11-104M22.2	CGI-08	LPAR1	SLC39A1	EDG2|GPR26|Gpcr26|LPA1|Mrec1.3|VZG1|edg-2|rec.1.3|vzg-1	ZIP1|ZIRTL	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.969618715	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.969618715, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1196264	51435	27173	119539	118050	-	CGI-08	SCARA3	SLC39A1	APC7|CSR|CSR1|MSLR1|MSRL1	ZIP1|ZIRTL	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.998507559	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.998507559, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
