#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
662872	1994	79180	108309	122597	-	RP3-467K16.3	ELAVL1	EFHD2	ELAV1|HUR|Hua|MelG	SWS1	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
723142	120892	79180	125700	122597	-	RP3-467K16.3	LRRK2	EFHD2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	SWS1	Affinity Capture-MS	physical	Meixner A (2011)	20876399	9606	9606	High Throughput	-	-	-	table 1.	-	BIOGRID
739750	79180	351	122597	106848	RP3-467K16.3	-	EFHD2	APP	SWS1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	21832049	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
859487	9924	79180	115252	122597	-	RP3-467K16.3	PAN2	EFHD2	USP52	SWS1	Affinity Capture-MS	physical	Bett JS (2013)	23398456	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
913075	26270	79180	117654	122597	RP3-330O12.3	RP3-467K16.3	FBXO6	EFHD2	FBG2|FBS2|FBX6|Fbx6b	SWS1	Affinity Capture-MS	physical	Liu B (2012)	22268729	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
921131	29082	79180	118852	122597	CDA04	RP3-467K16.3	CHMP4A	EFHD2	C14orf123|CHMP4|CHMP4B|HSPC134|SHAX2|SNF7|SNF7-1|VPS32-1|VPS32A	SWS1	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
921132	80347	79180	123254	122597	PSEC0106	RP3-467K16.3	COASY	EFHD2	DPCK|NBIA6|NBP|PPAT|UKR1|pOV-2	SWS1	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
921133	1633	79180	108001	122597	-	RP3-467K16.3	DCK	EFHD2	-	SWS1	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
921307	79180	2026	122597	108340	RP3-467K16.3	-	EFHD2	ENO2	SWS1	HEL-S-279|NSE	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
921608	79180	10539	122597	115793	RP3-467K16.3	HUSSY-22	EFHD2	GLRX3	SWS1	GLRX4|GRX3|GRX4|PICOT|TXNL2|TXNL3	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
921626	79180	8833	122597	114360	RP3-467K16.3	-	EFHD2	GMPS	SWS1	-	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
922177	79180	3417	122597	109643	RP3-467K16.3	-	EFHD2	IDH1	SWS1	HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
924403	79180	5781	122597	111745	RP3-467K16.3	-	EFHD2	PTPN11	SWS1	BPTP3|CFC|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
924632	79180	5954	122597	111887	RP3-467K16.3	-	EFHD2	RCN1	SWS1	HEL-S-84|PIG20|RCAL|RCN	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
926226	79180	7264	122597	113115	RP3-467K16.3	-	EFHD2	TSTA3	SWS1	FX|P35B|SDR4E1	Co-fractionation	physical	Kristensen AR (2012)	22863883	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1258164	79180	10097	122597	115404	RP3-467K16.3	-	EFHD2	ACTR2	SWS1	ARP2	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.999992902	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1258879	79180	10109	122597	115415	RP3-467K16.3	PRO2446	EFHD2	ARPC2	SWS1	ARC34|PNAS-139|p34-Arc	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.720572594	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1258887	79180	10094	122597	115401	RP3-467K16.3	-	EFHD2	ARPC3	SWS1	ARC21|p21-Arc	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.950714503	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1258896	79180	100526693	122597	1529294	RP3-467K16.3	-	EFHD2	ARPC4-TTLL3	SWS1	-	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.81415968	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1258897	79180	10093	122597	115400	RP3-467K16.3	-	EFHD2	ARPC4	SWS1	ARC20|P20-ARC	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.81415968	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1261428	8480	79180	114054	122597	RP4-800J21.2	RP3-467K16.3	RAE1	EFHD2	MIG14|MRNP41|Mnrp41|dJ481F12.3|dJ800J21.1	SWS1	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.976357538	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1273410	79180	7111	122597	112966	RP3-467K16.3	RP11-244N9.1	EFHD2	TMOD1	SWS1	D9S57E|ETMOD|TMOD	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.120393555	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1274289	79180	7407	122597	113250	RP3-467K16.3	DAAP-21F2.2	EFHD2	VARS	SWS1	G7A|VARS1|VARS2	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	0.08613298	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1455877	4627	79180	110712	122597	RP1-68O2.1	RP3-467K16.3	MYH9	EFHD2	BDPLT6|DFNA17|EPSTS|FTNS|MHA|NMHC-II-A|NMMHC-IIA|NMMHCA	SWS1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1455878	51474	79180	119559	122597	PP624	RP3-467K16.3	LIMA1	EFHD2	EPLIN|SREBP3	SWS1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1455879	399687	79180	134384	122597	-	RP3-467K16.3	MYO18A	EFHD2	MYSPDZ|SPR210	SWS1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1469815	11461	79180	197944	122597	-	RP3-467K16.3	Actb	EFHD2	Actx|E430023M04Rik|beta-actin	SWS1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1469816	17886	79180	201650	122597	AL583886.1	RP3-467K16.3	Myh9	EFHD2	Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6	SWS1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1469817	70405	79180	214028	122597	-	RP3-467K16.3	Calml3	EFHD2	2310068O22Rik|AI326174	SWS1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
2208093	8237	79180	113866	122597	RP4-659F15.2	RP3-467K16.3	USP11	EFHD2	UHX1	SWS1	Affinity Capture-MS	physical	Zhou Z (2017)	28040451	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
