#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
252075	10189	10212	115486	115507	-	-	ALYREF	DDX39A	ALY|ALY/REF|BEF|REF|THOC4	BAT1|BAT1L|DDX39|DDXL|URH49	Reconstituted Complex	physical	Pryor A (2004)	15047853	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252076	10189	7919	115486	113649	-	DAAP-97M17.4	ALYREF	DDX39B	ALY|ALY/REF|BEF|REF|THOC4	BAT1|D6S81E|UAP56	Reconstituted Complex	physical	Pryor A (2004)	15047853	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278234	10189	51176	115486	119354	-	-	ALYREF	LEF1	ALY|ALY/REF|BEF|REF|THOC4	LEF-1|TCF10|TCF1ALPHA|TCF7L3	Reconstituted Complex	physical	Bruhn L (1997)	9119228	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278235	10189	860	115486	107308	-	RP1-166H4.1	ALYREF	RUNX2	ALY|ALY/REF|BEF|REF|THOC4	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA	Reconstituted Complex	physical	Bruhn L (1997)	9119228	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278236	10189	10189	115486	115486	-	-	ALYREF	ALYREF	ALY|ALY/REF|BEF|REF|THOC4	ALY|ALY/REF|BEF|REF|THOC4	Reconstituted Complex	physical	Bruhn L (1997)	9119228	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
281763	9939	10189	115265	115486	HSPC114	-	RBM8A	ALYREF	BOV-1A|BOV-1B|BOV-1C|C1DELq21.1|DEL1q21.1|MDS014|RBM8|RBM8B|TAR|Y14|ZNRP|ZRNP1	ALY|ALY/REF|BEF|REF|THOC4	Affinity Capture-Western	physical	Kim VN (2001)	11546873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
336700	23076	10189	116708	115486	-	-	RRP1B	ALYREF	KIAA0179|NNP1L|Nnp1|PPP1R136|RRP1	ALY|ALY/REF|BEF|REF|THOC4	Affinity Capture-MS	physical	Crawford NP (2009)	19710015	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
336728	72462	10189	215383	115486	-	-	Rrp1b	ALYREF	2600005C20Rik|D030064A17|Kiaa0179|mKIAA0179	ALY|ALY/REF|BEF|REF|THOC4	Affinity Capture-MS	physical	Crawford NP (2009)	19710015	10090	9606	Low Throughput	-	-	-	-	-	BIOGRID
342903	51585	10189	119622	115486	-	-	PCF11	ALYREF	-	ALY|ALY/REF|BEF|REF|THOC4	Affinity Capture-Western	physical	Johnson SA (2009)	19110458	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
425012	56257	10189	121122	115486	-	-	MEPCE	ALYREF	BCDIN3	ALY|ALY/REF|BEF|REF|THOC4	Affinity Capture-MS	physical	Jeronimo C (2007)	17643375	9606	9606	High Throughput	0.94365	-	-	-	-	BIOGRID
