#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
241424	10421	10594	115690	115842	-	-	CD2BP2	PRPF8	FWP010|LIN1|PPP1R59|Snu40|U5-52K	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.919	-	-	Exogenous expression of bait	-	BIOGRID
241430	9410	10594	114805	115842	RP11-490K7.3	-	SNRNP40	PRPF8	40K|HPRP8BP|PRP8BP|PRPF8BP|SPF38|WDR57	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.78	-	-	Exogenous expression of bait	-	BIOGRID
241486	6628	10594	112512	115842	-	-	SNRPB	PRPF8	COD|SNRPB1|Sm-B/B|SmB/B|SmB/SmB|snRNP-B	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.61	-	-	Exogenous expression of bait	-	BIOGRID
241551	10921	10594	116125	115842	-	-	RNPS1	PRPF8	E5.1	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.559	-	-	Exogenous expression of bait	-	BIOGRID
243505	4609	10594	110694	115842	-	-	MYC	PRPF8	MRTL|MYCC|bHLHe39|c-Myc	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
251604	26824	10594	117873	115842	-	-	RNU11	PRPF8	RNU11-1|U11	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Will CL (2004)	15146077	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
318298	10594	9343	115842	114749	-	-	PRPF8	EFTUD2	HPRP8|PRP8|PRPC8|RP13|SNRNP220	MFDGA|MFDM|SNRNP116|Snrp116|Snu114|U5-116KD	Far Western	physical	Achsel T (1998)	9774689	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
318299	10594	9410	115842	114805	-	RP11-490K7.3	PRPF8	SNRNP40	HPRP8|PRP8|PRPC8|RP13|SNRNP220	40K|HPRP8BP|PRP8BP|PRPF8BP|SPF38|WDR57	Far Western	physical	Achsel T (1998)	9774689	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
318302	9410	10594	114805	115842	RP11-490K7.3	-	SNRNP40	PRPF8	40K|HPRP8BP|PRP8BP|PRPF8BP|SPF38|WDR57	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Reconstituted Complex	physical	Achsel T (1998)	9774689	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
318303	10594	9343	115842	114749	-	-	PRPF8	EFTUD2	HPRP8|PRP8|PRPC8|RP13|SNRNP220	MFDGA|MFDM|SNRNP116|Snrp116|Snu114|U5-116KD	Reconstituted Complex	physical	Achsel T (1998)	9774689	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
327889	19	10594	106537	115842	-	-	ABCA1	PRPF8	ABC-1|ABC1|CERP|HDLDT1|TGD	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Two-hybrid	physical	Buechler C (2002)	12054535	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
423755	10713	10594	115939	115842	CGI-21	-	USP39	PRPF8	65K|HSPC332|SAD1|SNRNP65	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.66	-	-	exogenous expression of bait	-	BIOGRID
423756	9128	10594	114576	115842	RP11-110L1.4	-	PRPF4	PRPF8	HPRP4|HPRP4P|PRP4|Prp4p|RP70|SNRNP60	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.02	-	-	exogenous expression of bait	-	BIOGRID
424996	56257	10594	121122	115842	-	-	MEPCE	PRPF8	BCDIN3	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Jeronimo C (2007)	17643375	9606	9606	High Throughput	0.961303	-	-	-	-	BIOGRID
452634	26058	10594	117520	115842	-	-	GIGYF2	PRPF8	GYF2|PARK11|PERQ2|PERQ3|TNRC15	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Ash MR (2010)	20696395	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
483029	10250	10594	115544	115842	-	-	SRRM1	PRPF8	160-KD|POP101|SRM160	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	McCracken S (2005)	16159877	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
504256	155871	10594	1205541	115842	HIV1gp5	-	tat	PRPF8	-	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Reconstituted Complex	physical	Gautier VW (2009)	19454010	11676	9606	High Throughput	-	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.	-	BIOGRID
558511	51043	10594	119242	115842	RP11-307C12.9	-	ZBTB7B	PRPF8	CKROX|THPOK|ZBTB15|ZFP-67|ZFP67|ZNF857B|c-KROX|hcKROX	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Zhang M (2010)	20810990	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566619	22938	10594	116597	115842	-	-	SNW1	PRPF8	Bx42|NCOA-62|PRPF45|Prp45|SKIIP|SKIP	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Zhang C (2003)	12840015	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568855	10594	9129	115842	114577	-	-	PRPF8	PRPF3	HPRP8|PRP8|PRPC8|RP13|SNRNP220	HPRP3|HPRP3P|PRP3|Prp3p|RP18|SNRNP90	Reconstituted Complex	physical	Song EJ (2010)	20595234	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568856	10594	7316	115842	113164	-	-	PRPF8	UBC	HPRP8|PRP8|PRPC8|RP13|SNRNP220	HMG20	Reconstituted Complex	physical	Song EJ (2010)	20595234	9606	9606	Low Throughput	-	-	-	#LPPI|Figure 7|Likely protein-protein interaction	-	BIOGRID
570361	10014	10594	115331	115842	-	-	HDAC5	PRPF8	HD5|NY-CO-9	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Greco TM (2011)	21081666	9606	9606	Low Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
574656	7150	10594	113003	115842	RP3-511B24.1	-	TOP1	PRPF8	TOPI	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Czubaty A (2005)	15848144	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
576209	12534	10594	198624	115842	-	-	Cdk1	PRPF8	Cdc2|Cdc2a|p34[CDC2]	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
576345	192159	10594	228650	115842	RP23-384C18.4	-	Prpf8	PRPF8	AU019467|D11Bwg0410e|DBF3/PRP8|Prp8|Sfprp8l	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
577204	71702	10594	214866	115842	-	-	Cdc5l	PRPF8	1200002I02Rik|AA408004|PCDC5RP	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
577710	66354	10594	211406	115842	-	-	Snw1	PRPF8	2310008B08Rik|AW048543|NCoA-62|SKIP|Skiip	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
592651	3783746	10594	971788	115842	-	-	EBNA-LP	PRPF8	-	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Forsman A (2008)	18457437	10376	9606	Low Throughput	-	-	-	-	-	BIOGRID
665053	8175	10594	113826	115842	-	-	SF3A2	PRPF8	PRP11|PRPF11|SAP62|SF3a66	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Behzadnia N (2007)	17332742	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
667290	51547	10594	119602	115842	-	-	SIRT7	PRPF8	SIR2L7	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Tsai YC (2012)	22586326	9606	9606	High Throughput	-	-	-	exogenous expression of bait|figure 2, table S1.	-	BIOGRID
669146	3178	10594	109420	115842	-	-	HNRNPA1	PRPF8	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Close P (2012)	22446626	9606	9606	High Throughput	-	-	-	figure 1, S2.	-	BIOGRID
670399	6929	10594	112791	115842	-	-	TCF3	PRPF8	E2A|E47|ITF1|TCF-3|VDIR|bHLHb21	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Teachenor R (2012)	22354994	9606	9606	High Throughput	-	-	-	table 1. Proteins associated with E47 in human embryonic kidney cells.	-	BIOGRID
677526	2078	10594	108389	115842	-	-	ERG	PRPF8	erg-3|p55	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Brenner JC (2011)	21575865	9606	9606	High Throughput	-	-	-	figure 1, table S1.	-	BIOGRID
686258	8452	10594	114030	115842	-	-	CUL3	PRPF8	CUL-3|PHA2E	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
696821	9092	10594	114546	115842	-	-	SART1	PRPF8	Ara1|HOMS1|SART1259|SNRNP110|Snu66	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Affinity Capture-Western	physical	Makarova OV (2001)	11350945	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
696903	5055	10594	111092	115842	-	-	SERPINB2	PRPF8	HsT1201|PAI|PAI-2|PAI2|PLANH2	HPRP8|PRP8|PRPC8|RP13|SNRNP220	Two-hybrid	physical	Fan J (2004)	15346200	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
