#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
30899	42816	38631	67753	64094	Dmel_CG10198	Dmel_CG10594	Nup98-96	spo	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	307a1|CG10594|CYP307A1|CYP307A1-Dm|Dmel\CG10594|Dmspo	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
35713	42816	32268	67753	58653	Dmel_CG10198	Dmel_CG4303	Nup98-96	Bap60	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	BAPp60|CG4303|Dmel\CG4303|i127|i133	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
1173566	3837	42816	110035	67753	-	Dmel_CG10198	KPNB1	Nup98-96	IMB1|IPO1|IPOB|Impnb|NTF97	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	Reconstituted Complex	physical	Schmidt HB (2015)	25562883	9606	7227	Low Throughput	-	-	-	Figure 5	-	BIOGRID
2308639	42816	38891	67753	64317	Dmel_CG10198	Dmel_CG7574	Nup98-96	bip1	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	CG7574|Dmel\CG7574|anon-WO0118547.246|bip-I	Phenotypic Suppression	genetic	Mondal BC (2014)	25201876	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2312492	31518	42816	58017	67753	Dmel_CG3025	Dmel_CG10198	mof	Nup98-96	CG3025|Dmel\CG3025|dMOF|dmMOF|max	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	Affinity Capture-MS	physical	Mendjan S (2006)	16543150	7227	7227	High Throughput	-	-	-	-	-	FLYBASE
2317583	36491	42816	62251	67753	Dmel_CG4832	Dmel_CG10198	cnn	Nup98-96	CG 4832|CG18370|CG4832|Cnn1|Dmel\CG4832|cen|mat(2)syn-C|mat(2)synHK21|mfs|obv	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	Affinity Capture-MS	physical	Habermann K (2012)	22751930	7227	7227	High Throughput	-	-	-	-	-	FLYBASE
2318547	37467	42816	63093	67753	Dmel_CG9862	Dmel_CG10198	Rae1	Nup98-96	CG9862|Dmel\CG9862|dmrae1	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	Affinity Capture-MS	physical	Tian X (2011)	21874015	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2319327	38017	42816	63582	67753	Dmel_CG1210	Dmel_CG10198	Pdk1	Nup98-96	1210|CG1201|CG1210|DSTPK61|Dmel\CG1210|PDK|PDK-1|PDK1/Pk61C|PK61C|Pk61C/PDK1|dPDK-1|dPDK1	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
2322874	41673	42816	66753	67753	Dmel_CG9374	Dmel_CG10198	lkb1	Nup98-96	CG9374|DmLKB1|Dmel\CG9374|LKB1/PEUTZ JEGHERS KINASE|PAR-4|PAR4|STK11|anon-EST:Posey135|dLKB1	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
2325966	43991	42816	68762	67753	Dmel_CG5671	Dmel_CG10198	Pten	Nup98-96	CG5671|DPTEN|Dmel\CG5671|PTEN3	CG10198|CG10201|Dmel\CG10198|NUP98|Nup|Nup 96|Nup 98|Nup-98|Nup96|Nup96-98|Nup98-Nup96|Nup98/96|l(3)95BCd|nup145	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
