#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
834396	57473	54596	121543	120072	-	RP5-1155K23.3	ZNF512B	L1TD1	GM632	ECAT11	Two-hybrid	physical	Colland F (2004)	15231748	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1100651	54596	79727	120072	122842	RP5-1155K23.3	-	L1TD1	LIN28A	ECAT11	CSDD1|LIN-28|LIN28|ZCCHC1|lin-28A	Affinity Capture-Western	physical	Naervae E (2012)	22162396	9606	9606	Low Throughput	-	-	-	Figure 5C	-	BIOGRID
1100652	54596	1660	120072	108025	RP5-1155K23.3	-	L1TD1	DHX9	ECAT11	DDX9|LKP|NDH2|NDHII|RHA	Affinity Capture-Western	physical	Naervae E (2012)	22162396	9606	9606	Low Throughput	-	-	-	Figure 5H	-	BIOGRID
1445177	54596	3799	120072	110000	RP5-1155K23.3	-	L1TD1	KIF5B	ECAT11	HEL-S-61|KINH|KNS|KNS1|UKHC	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1447713	54596	6949	120072	112809	RP5-1155K23.3	-	L1TD1	TCOF1	ECAT11	MFD1|TCS|TCS1|treacle	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1448361	54596	7994	120072	113703	RP5-1155K23.3	-	L1TD1	KAT6A	ECAT11	MOZ|MYST3|RUNXBP2|ZC2HC6A|ZNF220	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1448699	54596	8535	120072	114105	RP5-1155K23.3	-	L1TD1	CBX4	ECAT11	NBP16|PC2	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1448821	54596	8668	120072	114217	RP5-1155K23.3	RP4-675E8.1	L1TD1	EIF3I	ECAT11	EIF3S2|PRO2242|TRIP-1|TRIP1|eIF3-beta|eIF3-p36	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1450269	54596	10155	120072	115457	RP5-1155K23.3	-	L1TD1	TRIM28	ECAT11	KAP1|PPP1R157|RNF96|TF1B|TIF1B	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1451213	54596	11078	120072	116261	RP5-1155K23.3	HRIHFB2122	L1TD1	TRIOBP	ECAT11	DFNB28|TAP68|TARA|dJ37E16.4	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
