#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
119692	27111	79169	118007	122586	-	-	SDCBP2	C1orf35	SITAC|SITAC18|ST-2	MMTAG2|hMMTAG2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120405	55145	79169	120448	122586	-	-	THAP1	C1orf35	DYT6	MMTAG2|hMMTAG2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
561090	7316	79169	113164	122586	-	-	UBC	C1orf35	HMG20	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
681371	7013	79169	112872	122586	-	-	TERF1	C1orf35	PIN2|TRBF1|TRF|TRF1|hTRF1-AS|t-TRF1	MMTAG2|hMMTAG2	Two-hybrid	physical	Lee OH (2011)	21044950	9606	9606	High Throughput	-	-	-	BifC	-	BIOGRID
686748	8452	79169	114030	122586	-	-	CUL3	C1orf35	CUL-3|PHA2E	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
737765	79169	351	122586	106848	-	-	C1orf35	APP	MMTAG2|hMMTAG2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	21832049	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
838810	79169	80321	122586	123234	-	-	C1orf35	CEP70	MMTAG2|hMMTAG2	BITE	Two-hybrid	physical	Venkatesan K (2009)	19060904	9606	9606	High Throughput	-	-	-	Human proteins expressed in S. cerevisiae	-	BIOGRID
906628	6733	79169	112611	122586	-	-	SRPK2	C1orf35	SFRSK2	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	-	-	Exogenous expresssion of bait	-	BIOGRID
906691	6732	79169	112610	122586	RP3-422H11.1	-	SRPK1	C1orf35	SFRSK1	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	-	-	Exogenous expresssion of bait	-	BIOGRID
907308	6733	79169	112611	122586	-	-	SRPK2	C1orf35	SFRSK2	MMTAG2|hMMTAG2	Biochemical Activity	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	Phosphorylation	-	Substrate (Hit) was protein microarray; all hits had Z-score greater than 0.25	-	BIOGRID
941522	104	79169	106618	122586	-	-	ADARB1	C1orf35	ADAR2|DRABA2|DRADA2|RED1	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941951	8575	79169	114143	122586	HSD14	-	PRKRA	C1orf35	DYT16|PACT|RAX	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941986	6895	79169	112758	122586	-	-	TARBP2	C1orf35	LOQS|TRBP|TRBP1|TRBP2	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
942058	90441	79169	124717	122586	-	-	ZNF622	C1orf35	ZPR9	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1037881	1602	79169	107972	122586	RP11-512J14.1	-	DACH1	C1orf35	DACH	MMTAG2|hMMTAG2	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1038722	2801	79169	109063	122586	RP11-395P17.5	-	GOLGA2	C1orf35	GM130	MMTAG2|hMMTAG2	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044515	9513	79169	114890	122586	-	-	FXR2	C1orf35	FMR1L2|FXR2P	MMTAG2|hMMTAG2	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1047944	55145	79169	120448	122586	-	-	THAP1	C1orf35	DYT6	MMTAG2|hMMTAG2	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1179380	85403	79169	124514	122586	-	-	EAF1	C1orf35	-	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.979834054	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.979834054, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1196608	79961	79169	123030	122586	RP5-1180E21.2	-	DENND2D	C1orf35	-	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.831816605	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.831816605, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1240663	23136	79169	116753	122586	-	-	EPB41L3	C1orf35	4.1B|DAL-1|DAL1	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Hauri S (2013)	24366813	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1240952	644943	79169	570026	122586	-	-	RASSF10	C1orf35	-	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Hauri S (2013)	24366813	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1278957	351	79169	106848	122586	-	-	APP	C1orf35	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	MMTAG2|hMMTAG2	Reconstituted Complex	physical	Virok DP (2011)	21244100	9606	9606	High Throughput	-	-	-	Oligomeric amyloid-beta queried against the ProtoArray Human Protein Microarray	-	BIOGRID
