#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
829431	1457	26010	107841	117483	-	SP1224	CSNK2A1	SPATS2L	CK2A1|CKII|CSNK2A3	DNAPTP6|SGNP	Biochemical Activity	physical	Zhang M (2011)	22113938	9606	9606	High Throughput	-	Phosphorylation	-	-	-	BIOGRID
1182373	2267	26010	108558	117483	-	SP1224	FGL1	SPATS2L	HFREP1|HP-041|LFIRE-1|LFIRE1	DNAPTP6|SGNP	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.998780593	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.998780593, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1194361	4055	26010	110233	117483	-	SP1224	LTBR	SPATS2L	CD18|D12S370|LT-BETA-R|TNF-R-III|TNFCR|TNFR-RP|TNFR2-RP|TNFR3|TNFRSF3	DNAPTP6|SGNP	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999999872	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999999872, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1415501	3428	26010	109654	117483	-	SP1224	IFI16	SPATS2L	IFNGIP1|PYHIN2	DNAPTP6|SGNP	Affinity Capture-MS	physical	Diner BA (2015)	25693804	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1429990	23322	26010	116911	117483	-	SP1224	RPGRIP1L	SPATS2L	CORS3|FTM|JBTS7|MKS5|NPHP8|PPP1R134	DNAPTP6|SGNP	Affinity Capture-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1431749	11116	26010	116291	117483	-	SP1224	FGFR1OP	SPATS2L	FOP	DNAPTP6|SGNP	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1444073	26010	1523	117483	107903	SP1224	-	SPATS2L	CUX1	DNAPTP6|SGNP	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1444690	26010	2889	117483	109146	SP1224	RP11-40A7.1	SPATS2L	RAPGEF1	DNAPTP6|SGNP	C3G|GRF2	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1447211	26010	6418	117483	112316	SP1224	RP11-216B9.3	SPATS2L	SET	DNAPTP6|SGNP	2PP2A|I2PP2A|IGAAD|IPP2A2|PHAPII|TAF-I|TAF-IBETA	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1452637	3192	26010	109433	117483	RP11-11N7.3	SP1224	HNRNPU	SPATS2L	HNRPU|SAF-A|U21.1|hnRNP U	DNAPTP6|SGNP	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1454441	26010	55558	117483	120717	SP1224	XX-FW81657B9.3	SPATS2L	PLXNA3	DNAPTP6|SGNP	6.3|HSSEXGENE|PLXN3|PLXN4|XAP-6	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1456886	26010	84833	117483	124287	SP1224	PD04912	SPATS2L	USMG5	DNAPTP6|SGNP	DAPIT|HCVFTP2|bA792D24.4	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1457785	26010	151246	117483	127357	SP1224	-	SPATS2L	SGOL2	DNAPTP6|SGNP	SGO2|TRIPIN	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1467007	16341	26010	200775	117483	-	SP1224	Eif3e	SPATS2L	48kDa|Eif3s6|Int6|eIF3-p46|eIF3-p48	DNAPTP6|SGNP	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1467008	66661	26010	211629	117483	-	SP1224	Srp72	SPATS2L	5730576P14Rik|72kDa|AI132477|BC019196|C77589	DNAPTP6|SGNP	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1511481	4171	26010	110339	117483	-	SP1224	MCM2	SPATS2L	BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19	DNAPTP6|SGNP	Affinity Capture-MS	physical	Drissi R (2015)	25963833	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2218653	4055	26010	110233	117483	-	SP1224	LTBR	SPATS2L	CD18|D12S370|LT-BETA-R|TNF-R-III|TNFCR|TNFR-RP|TNFR2-RP|TNFR3|TNFRSF3	DNAPTP6|SGNP	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999999881	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999999881, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
