#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
119514	3190	55285	109431	120573	RP11-575L7.1	RP13-383K5.1	HNRNPK	RBM41	CSBP|HNRPK|TUNP	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119548	3190	26505	109431	117712	RP11-575L7.1	-	HNRNPK	CNNM3	CSBP|HNRPK|TUNP	ACDP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119872	3190	9402	109431	114799	RP11-575L7.1	RP3-370M22.1	HNRNPK	GRAP2	CSBP|HNRPK|TUNP	GADS|GRAP-2|GRB2L|GRBLG|GRID|GRPL|GrbX|Grf40|Mona|P38	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119882	3190	3190	109431	109431	RP11-575L7.1	RP11-575L7.1	HNRNPK	HNRNPK	CSBP|HNRPK|TUNP	CSBP|HNRPK|TUNP	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120169	3190	9782	109431	115126	RP11-575L7.1	-	HNRNPK	MATR3	CSBP|HNRPK|TUNP	ALS21|MPD2|VCPDM	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120432	3190	79171	109431	122588	RP11-575L7.1	-	HNRNPK	RBM42	CSBP|HNRPK|TUNP	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120485	3190	10179	109431	115478	RP11-575L7.1	-	HNRNPK	RBM7	CSBP|HNRPK|TUNP	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120958	3190	56654	109431	121167	RP11-575L7.1	RP11-229P13.1	HNRNPK	NPDC1	CSBP|HNRPK|TUNP	CAB|CAB-|CAB-1|CAB1|NPDC-1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121278	3190	10656	109431	115899	RP11-575L7.1	-	HNRNPK	KHDRBS3	CSBP|HNRPK|TUNP	Etle|SALP|SLM-2|SLM2|T-STAR|TSTAR|etoile	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121279	3190	202559	109431	128436	RP11-575L7.1	RP1-240B8.3	HNRNPK	KHDRBS2	CSBP|HNRPK|TUNP	SLM-1|SLM1|bA535F17.1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121676	3190	27316	109431	118134	RP11-575L7.1	RP11-1114A5.1	HNRNPK	RBMX	CSBP|HNRPK|TUNP	HNRNPG|HNRPG|RBMXP1|RBMXRT|RNMX|hnRNP-G	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121787	3190	9444	109431	114834	RP11-575L7.1	-	HNRNPK	QKI	CSBP|HNRPK|TUNP	Hqk|QK|QK1|QK3|hqkI	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121863	3190	10174	109431	115475	RP11-575L7.1	-	HNRNPK	SORBS3	CSBP|HNRPK|TUNP	SCAM-1|SCAM1|SH3D4	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121982	3190	7329	109431	113177	RP11-575L7.1	LA16c-358B7.1	HNRNPK	UBE2I	CSBP|HNRPK|TUNP	C358B7.1|P18|UBC9	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122129	3190	8440	109431	114020	RP11-575L7.1	-	HNRNPK	NCK2	CSBP|HNRPK|TUNP	GRB4|NCKbeta	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
196623	3190	11083	109431	116266	RP11-575L7.1	RP5-885L7.1	HNRNPK	DIDO1	CSBP|HNRPK|TUNP	BYE1|C20orf158|DATF-1|DATF1|DIDO2|DIDO3|DIO-1|DIO1|dJ885L7.8	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
263826	3190	3276	109431	109512	RP11-575L7.1	-	HNRNPK	PRMT1	CSBP|HNRPK|TUNP	ANM1|HCP1|HRMT1L2|IR1B4	Affinity Capture-Western	physical	Cote J (2003)	12529443	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263849	3276	3190	109512	109431	-	RP11-575L7.1	PRMT1	HNRNPK	ANM1|HCP1|HRMT1L2|IR1B4	CSBP|HNRPK|TUNP	Biochemical Activity	physical	Wada K (2002)	12183049	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
277886	3190	1653	109431	108019	RP11-575L7.1	-	HNRNPK	DDX1	CSBP|HNRPK|TUNP	DBP-RB|UKVH5d	Co-purification	physical	Chen HC (2002)	12183465	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277887	3190	1653	109431	108019	RP11-575L7.1	-	HNRNPK	DDX1	CSBP|HNRPK|TUNP	DBP-RB|UKVH5d	Reconstituted Complex	physical	Chen HC (2002)	12183465	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277888	3190	1653	109431	108019	RP11-575L7.1	-	HNRNPK	DDX1	CSBP|HNRPK|TUNP	DBP-RB|UKVH5d	Affinity Capture-Western	physical	Chen HC (2002)	12183465	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277889	1653	3190	108019	109431	-	RP11-575L7.1	DDX1	HNRNPK	DBP-RB|UKVH5d	CSBP|HNRPK|TUNP	Reconstituted Complex	physical	Chen HC (2002)	12183465	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278080	5094	3190	111127	109431	-	RP11-575L7.1	PCBP2	HNRNPK	HNRNPE2|HNRPE2|hnRNP-E2	CSBP|HNRPK|TUNP	Two-hybrid	physical	Kim JH (2000)	10772858	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278084	5725	3190	111697	109431	-	RP11-575L7.1	PTBP1	HNRNPK	HNRNP-I|HNRNPI|HNRPI|PTB|PTB-1|PTB-T|PTB2|PTB3|PTB4|pPTB	CSBP|HNRPK|TUNP	Two-hybrid	physical	Kim JH (2000)	10772858	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278086	3190	5094	109431	111127	RP11-575L7.1	-	HNRNPK	PCBP2	CSBP|HNRPK|TUNP	HNRNPE2|HNRPE2|hnRNP-E2	Two-hybrid	physical	Kim JH (2000)	10772858	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
