#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
34213	35563	47121	61462	70606	Dmel_CG3183	Dmel_CG8171	geminin	dup	CG3183|Dm Geminin|Dmel\CG3183|Gem|anon-WO0257455.1|l(2)k14019|v(2)k09107	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
38446	31158	47121	57704	70606	Dmel_CG11596	Dmel_CG8171	CG11596	dup	Dmel\CG11596|EG:39E1.1	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
48873	37542	47121	63159	70606	Dmel_CG5709	Dmel_CG8171	ari-2	dup	AAF46823.1|CG5709|Dmel\CG5709|ari2|l(2)07768	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
49775	47121	36592	70606	62342	Dmel_CG8171	Dmel_CG34379	dup	Shroom	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	CG13942|CG13944|CG34379|CG8603|Dmel\CG34379|Dmel_CG13942|Dmel_CG8603|Shrm|dShrm|dmShroom	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
438406	2768677	47121	77545	70606	Dmel_CG33336	Dmel_CG8171	p53	dup	CG10873|CG31325|CG33336|D-p53|DMP53|Dm-P53|Dmel\CG33336|Dp53|prac	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
651224	47121	53561	70606	72792	Dmel_CG8171	Dmel_CG6392	dup	cmet	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	CENP-E|CENP-E meta|CENP-META|CENPE|CENPmeta|CG6392|Cenp-M|Cenp_E|DmCmet|DmCmeta|Dmel\CG6392|KIF 10|KIF10|l(2)04431	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652116	47121	318206	70606	76803	Dmel_CG8171	Dmel_CG34412	dup	tlk	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	BcDNA:GH07910|CG12462|CG2829|CG32781|CG32782|CG33219|CG34412|Dmel\CG34412|Dmel_CG32781|Dmel_CG32782|EP(X)1413|EP1413|anon-WO03040301.114|anon-WO03040301.116|dtlk|l(1)G0054	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652476	47121	35563	70606	61462	Dmel_CG8171	Dmel_CG3183	dup	geminin	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	CG3183|Dm Geminin|Dmel\CG3183|Gem|anon-WO0257455.1|l(2)k14019|v(2)k09107	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
652871	47121	33971	70606	60121	Dmel_CG8171	Dmel_CG10158	dup	CG10158	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	Dmel\CG10158|FGFR1OP2|FGOP2	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
653265	47121	35330	70606	61293	Dmel_CG8171	Dmel_CG1962	dup	Cen	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	38E.1|CG1962|Dmel\CG1962	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
654075	47121	39843	70606	65146	Dmel_CG8171	Dmel_CG4118	dup	nxf2	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	CG4118|Dmel\CG4118	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
654168	47121	37434	70606	63067	Dmel_CG8171	Dmel_CG9754	dup	CG9754	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	Dmel\CG9754	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
654787	47121	3355127	70606	78252	Dmel_CG8171	Dmel_CG17494	dup	CG17494	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	Dmel\CG17494	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
654906	47121	39821	70606	65128	Dmel_CG8171	Dmel_CG4877	dup	RAF2	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	CG4689|CG4877|Dmel\CG4877|dRAF2	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
655230	47121	32977	70606	59273	Dmel_CG8171	Dmel_CG14224	dup	Ubqn	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	BEST:LD26923|CG14224|Chap|DSK2|Dmel\CG14224|UBQLN homolog|UBQLN1|anon-18DEa|clone 5.42|dUbqln|dUbqn	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
655303	47121	47249	70606	70716	Dmel_CG8171	Dmel_CG5965	dup	woc	19k|CDT1|CDT1/DUP|CG8171|DUP/CDT1|Dmel\CG8171|anon-WO0257455.31|fs(2)51Fa|fs(2)PA77|fs(2)ltoPA77|l(2)51Ec|l(2)k03308	CG5965|Dmel\CG5965	Affinity Capture-MS	physical	Guruharsha KG (2011)	22036573	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
