#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
854237	15209	224903	200279	230338	-	-	Hesx1	Safb	HES-1|Rpx	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-Western	physical	Sajedi E (2008)	17931718	10090	10090	Low Throughput	-	-	-	-	-	BIOGRID
1064657	13626	224903	199384	230338	-	-	Eed	Safb	ENSMUSG00000039373|l(7)5Rn|l7Rn5|lusk	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-MS	physical	Cao Q (2014)	24457600	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
1256843	217331	224903	229889	230338	RP23-42F6.4	-	Unk	Safb	B230379M23Rik|Zc3h5|Zc3hdc5|mKIAA1753	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-RNA	physical	Murn J (2015)	25737280	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2342733	211651	224903	229254	230338	-	-	Fancd2	Safb	2410150O07Rik|AU015151|BB137857|FA-D2|FA4|FACD|FAD|FANCD	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-MS	physical	Zhang T (2017)	28378742	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2448574	15387	224903	200359	230338	-	-	Hnrnpk	Safb	Hnrpk|KBBP|NOVA	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-MS	physical	Mikula M (2015)	26336360	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2573377	77040	224903	218476	230338	-	-	Atg16l1	Safb	1500009K01Rik|Apg16l|Atg16l|WDR30	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-MS	physical	Arbogast F (2019)	30196744	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
2678877	224903	12747	230338	198751	-	-	Safb	Clk1	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	STY	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.869	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2687164	224903	67016	230338	211878	-	-	Safb	Tbc1d2b	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	1810061M12Rik|AI480956|AV021536|AV023399|AW491493|mKIAA1055	Co-fractionation	physical	Pourhaghighi R (2020)	32325033	10090	10090	High Throughput	0.961	-	-	High confidence interactions had an EPIC Score >= 0.683	-	BIOGRID
2887198	208727	224903	229009	230338	-	-	Hdac4	Safb	4932408F19Rik|AI047285	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-MS	physical	Federspiel JD (2019)	31040226	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
3199421	21834	224903	204184	230338	-	-	Thrb	Safb	Nr1a2|T3R[b]|T3Rbeta|Thrb1|Thrb2|c-erbAbeta	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-MS	physical	Wang W (2021)	34474245	10090	10090	High Throughput	-	-	-	C57BL/6 male mouse - heart tissue	-	BIOGRID
3325511	74148	224903	216526	230338	RP23-194P5.1	-	Cluh	Safb	1300001I01Rik|Kiaa0664|mKIAA0664	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-MS	physical	Hemono M (2022)	35012549	10090	10090	High Throughput	-	-	-	-	-	BIOGRID
3498078	75770	224903	217728	230338	-	-	Brsk2	Safb	4833424K13Rik|SAD-A|SADA	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Proximity Label-MS	physical	Murtaza N (2022)	36417873	10090	10090	High Throughput	0.184323602	-	-	BioID experiment|The scores are relative biotinylation enrichment scores (calculated as a percentage of the abundance fold change of the highest biotinylated prey protein)|The statistical cut-offs for the prey proteins are based on adjusted t-test p-value and significance B scores of less than 0.05, by comparing average abundances of prey proteins between the Bait-BioID samples and the luciferase-BioID control	-	BIOGRID
3498871	14800	224903	200059	230338	-	-	Gria2	Safb	GluA2|GluR-B|Glur-2|Glur2	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Proximity Label-MS	physical	Murtaza N (2022)	36417873	10090	10090	High Throughput	0.113212195	-	-	BioID experiment|The scores are relative biotinylation enrichment scores (calculated as a percentage of the abundance fold change of the highest biotinylated prey protein)|The statistical cut-offs for the prey proteins are based on adjusted t-test p-value and significance B scores of less than 0.05, by comparing average abundances of prey proteins between the Bait-BioID samples and the luciferase-BioID control	-	BIOGRID
3500320	252870	224903	232963	230338	-	-	Usp7	Safb	2210010O09Rik|AA409944|AA617399|AU019296|AW548146|C80752|Hausp	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Proximity Label-MS	physical	Murtaza N (2022)	36417873	10090	10090	High Throughput	0.165657662	-	-	BioID experiment|The scores are relative biotinylation enrichment scores (calculated as a percentage of the abundance fold change of the highest biotinylated prey protein)|The statistical cut-offs for the prey proteins are based on adjusted t-test p-value and significance B scores of less than 0.05, by comparing average abundances of prey proteins between the Bait-BioID samples and the luciferase-BioID control	-	BIOGRID
3727922	233877	224903	231463	230338	-	-	Kctd13	Safb	1500003N18Rik|AV259508|PDIP1alpha|Pdip1|Poldip1	3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1	Affinity Capture-MS	physical	Gu J (2023)	37142655	10090	10090	High Throughput	-	-	-	-	-	BIOGRID

