#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
29911	23369	23369	116949	116949	-	-	PUM2	PUM2	PUMH2|PUML2	PUMH2|PUML2	Two-hybrid	physical	Jaruzelska J (2003)	12690449	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
29916	23369	340719	116949	131092	-	RP11-498J9.3	PUM2	NANOS1	PUMH2|PUML2	NOS1|SPGF12	Two-hybrid	physical	Jaruzelska J (2003)	12690449	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
441813	23369	340719	116949	131092	-	RP11-498J9.3	PUM2	NANOS1	PUMH2|PUML2	NOS1|SPGF12	Affinity Capture-Western	physical	Jaruzelska J (2003)	12690449	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
572467	6790	23369	112666	116949	RP5-1167H4.6	-	AURKA	PUM2	AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7	PUMH2|PUML2	Affinity Capture-Western	physical	Huang YH (2011)	21589936	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
572468	23369	6790	116949	112666	-	RP5-1167H4.6	PUM2	AURKA	PUMH2|PUML2	AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7	Affinity Capture-Western	physical	Huang YH (2011)	21589936	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
572469	23369	6790	116949	112666	-	RP5-1167H4.6	PUM2	AURKA	PUMH2|PUML2	AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7	Reconstituted Complex	physical	Huang YH (2011)	21589936	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
644086	29079	23369	118849	116949	RP11-90M2.2	-	MED4	PUM2	ARC36|DRIP36|HSPC126|TRAP36|VDRIP	PUMH2|PUML2	Two-hybrid	physical	Nakayama M (2002)	12421765	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
662811	1994	23369	108309	116949	-	-	ELAVL1	PUM2	ELAV1|HUR|Hua|MelG	PUMH2|PUML2	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
832839	1617	23369	107986	116949	-	-	DAZ1	PUM2	DAZ|SPGY	PUMH2|PUML2	Two-hybrid	physical	Moore FL (2003)	12511597	9606	9606	Low Throughput|High Throughput	-	-	-	figure 2.	-	BIOGRID
832848	1617	23369	107986	116949	-	-	DAZ1	PUM2	DAZ|SPGY	PUMH2|PUML2	Affinity Capture-Western	physical	Moore FL (2003)	12511597	9606	9606	Low Throughput	-	-	-	figure 2.	-	BIOGRID
832849	23369	1618	116949	107987	-	-	PUM2	DAZL	PUMH2|PUML2	DAZH|DAZL1|DAZLA|SPGYLA	Two-hybrid	physical	Moore FL (2003)	12511597	9606	9606	Low Throughput	-	-	-	figure 6.	-	BIOGRID
838220	155348	23369	1205538	116949	HIV1gp1	-	gag-pol	PUM2	-	PUMH2|PUML2	Affinity Capture-MS	physical	Jaeger S (2012)	22190034	11676	9606	High Throughput	-	-	-	HIV1 gene: gag-pol P04585|PRO_0000223620|P04585#PRO_0000223620|NP_057849, protein: PR P04585|PRO_0000038665|P04585#PRO_0000038665|NP_705926.1	-	BIOGRID
1028293	23369	342977	116949	131219	-	-	PUM2	NANOS3	PUMH2|PUML2	NANOS1L|NOS3	Affinity Capture-Western	physical	Lolicato F (2008)	18089289	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1064228	648	23369	107116	116949	RP11-573G6.1	-	BMI1	PUM2	FLVI2/BMI1|PCGF4|RNF51	PUMH2|PUML2	Affinity Capture-MS	physical	Cao Q (2014)	24457600	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1190135	23543	23369	117087	116949	RP1-41P2.9	-	RBFOX2	PUM2	FOX2|Fox-2|HNRBP2|HRNBP2|RBM9|RTA|dJ106I20.3|fxh	PUMH2|PUML2	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999961624	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999961624, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1190450	3608	23369	109821	116949	RP11-354A16.1	-	ILF2	PUM2	NF45|PRO3063	PUMH2|PUML2	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999480666	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999480666, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1275495	4914	23369	110969	116949	-	-	NTRK1	PUM2	MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA	PUMH2|PUML2	Affinity Capture-MS	physical	Emdal KB (2015)	25921289	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1452142	90378	23369	124704	116949	-	-	SAMD1	PUM2	-	PUMH2|PUML2	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1452143	129831	23369	126210	116949	-	-	RBM45	PUM2	DRB1	PUMH2|PUML2	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
2224511	11129	23369	116302	116949	UNQ2428/PRO4988	-	CLASRP	PUM2	CLASP|SFRS16|SWAP2	PUMH2|PUML2	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999972005	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999972005, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2224525	1993	23369	108308	116949	RP11-315I14.4	-	ELAVL2	PUM2	HEL-N1|HELN1|HUB	PUMH2|PUML2	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999971777	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999971777, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2226043	23543	23369	117087	116949	RP1-41P2.9	-	RBFOX2	PUM2	FOX2|Fox-2|HNRBP2|HRNBP2|RBM9|RTA|dJ106I20.3|fxh	PUMH2|PUML2	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999932096	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999932096, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
