#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1471323	23942	132864	204807	126338	-	-	Mta2	CPEB2	AW550797|Mata1l1|Mta1l1|mmta2	CPE-BP2|CPEB-2|hCPEB-2	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1471324	235072	132864	231619	126338	-	-	Sept7	CPEB2	Cdc10|E430034N22	CPE-BP2|CPEB-2|hCPEB-2	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1471325	26965	132864	205088	126338	-	-	Cul1	CPEB2	-	CPE-BP2|CPEB-2|hCPEB-2	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
2459476	132864	23130	126338	116748	-	-	CPEB2	ATG2A	CPE-BP2|CPEB-2|hCPEB-2	-	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2459477	132864	4508	126338	110612	-	-	CPEB2	ATP6	CPE-BP2|CPEB-2|hCPEB-2	ATPase6|MTATP6	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2459478	132864	50813	126338	119130	-	-	CPEB2	COPS7A	CPE-BP2|CPEB-2|hCPEB-2	CSN7|CSN7A|SGN7a	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2459479	132864	1938	126338	108258	-	-	CPEB2	EEF2	CPE-BP2|CPEB-2|hCPEB-2	EEF-2|EF-2|EF2|SCA26	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2459480	132864	2550	126338	108825	-	DAAP-188P13.3	CPEB2	GABBR1	CPE-BP2|CPEB-2|hCPEB-2	GABABR1|GABBR1-3|GB1|GPRC3A|dJ271M21.1.1|dJ271M21.1.2	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2459481	132864	2548	126338	108823	-	-	CPEB2	GAA	CPE-BP2|CPEB-2|hCPEB-2	LYAG	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2459482	132864	9817	126338	115156	-	-	CPEB2	KEAP1	CPE-BP2|CPEB-2|hCPEB-2	INrf2|KLHL19	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2459483	132864	482	126338	106972	-	-	CPEB2	ATP1B2	CPE-BP2|CPEB-2|hCPEB-2	AMOG	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2459484	132864	54550	126338	120035	-	-	CPEB2	NECAB2	CPE-BP2|CPEB-2|hCPEB-2	EFCBP2	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2459485	132864	55611	126338	120751	-	HSPC263	CPEB2	OTUB1	CPE-BP2|CPEB-2|hCPEB-2	OTB1|OTU1	Two-hybrid	physical	Chen PJ (2012)	22157746	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
