#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
120842	9454	140735	114843	126680	-	-	HOMER3	DYNLL2	HOMER-3|VESL3	DNCL1B|Dlc2|RSPH22	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
196640	9454	285527	114843	130134	-	-	HOMER3	FRYL	HOMER-3|VESL3	KIAA0826	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
255082	9454	7220	114843	113071	-	-	HOMER3	TRPC1	HOMER-3|VESL3	HTRP-1|TRP1	Affinity Capture-Western	physical	Yuan JP (2003)	14505576	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255083	9454	7223	114843	113074	-	RP11-10M8.1	HOMER3	TRPC4	HOMER-3|VESL3	HTRP-4|HTRP4|TRP4	Affinity Capture-Western	physical	Yuan JP (2003)	14505576	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255084	9454	7224	114843	113075	-	RP1-68D15.2	HOMER3	TRPC5	HOMER-3|VESL3	PPP1R159|TRP5	Affinity Capture-Western	physical	Yuan JP (2003)	14505576	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255091	9454	7220	114843	113071	-	-	HOMER3	TRPC1	HOMER-3|VESL3	HTRP-1|TRP1	Reconstituted Complex	physical	Yuan JP (2003)	14505576	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304965	9454	6261	114843	112173	-	-	HOMER3	RYR1	HOMER-3|VESL3	CCO|MHS|MHS1|PPP1R137|RYDR|RYR|RYR-1|SKRR	Affinity Capture-Western	physical	Feng W (2002)	12223488	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304966	9454	6261	114843	112173	-	-	HOMER3	RYR1	HOMER-3|VESL3	CCO|MHS|MHS1|PPP1R137|RYDR|RYR|RYR-1|SKRR	Reconstituted Complex	physical	Feng W (2002)	12223488	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
576817	66354	9454	211406	114843	-	-	Snw1	HOMER3	2310008B08Rik|AW048543|NCoA-62|SKIP|Skiip	HOMER-3|VESL3	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
576892	69957	9454	213776	114843	-	-	Cdc16	HOMER3	2700071J12Rik|2810431D22Rik|APC6	HOMER-3|VESL3	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
669594	5705	9454	111678	114843	-	-	PSMC5	HOMER3	S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG	HOMER-3|VESL3	Affinity Capture-Western	physical	Rezvani K (2012)	22486777	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
669605	5705	9454	111678	114843	-	-	PSMC5	HOMER3	S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG	HOMER-3|VESL3	Two-hybrid	physical	Rezvani K (2012)	22486777	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
669606	9454	5705	114843	111678	-	-	HOMER3	PSMC5	HOMER-3|VESL3	S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG	Two-hybrid	physical	Rezvani K (2012)	22486777	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
678976	3551	9454	109767	114843	-	-	IKBKB	HOMER3	IKK-beta|IKK2|IKKB|IMD15|NFKBIKB	HOMER-3|VESL3	Two-hybrid	physical	Yatherajam G (2010)	20693425	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
678977	9454	3551	114843	109767	-	-	HOMER3	IKBKB	HOMER-3|VESL3	IKK-beta|IKK2|IKKB|IMD15|NFKBIKB	Affinity Capture-Western	physical	Yatherajam G (2010)	20693425	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
678978	3551	9454	109767	114843	-	-	IKBKB	HOMER3	IKK-beta|IKK2|IKKB|IMD15|NFKBIKB	HOMER-3|VESL3	Affinity Capture-Western	physical	Yatherajam G (2010)	20693425	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
715669	18508	9454	202033	114843	RP23-431C3.1	-	Pax6	HOMER3	1500038E17Rik|AEY11|Dey|Gsfaey11|Pax-6|Sey	HOMER-3|VESL3	Two-hybrid	physical	Cooper ST (2005)	16098226	10090	9606	Low Throughput	-	-	-	-	-	BIOGRID
738125	9454	351	114843	106848	-	-	HOMER3	APP	HOMER-3|VESL3	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	21832049	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
838809	9454	51225	114843	119389	-	-	HOMER3	ABI3	HOMER-3|VESL3	NESH|SSH3BP3	Two-hybrid	physical	Venkatesan K (2009)	19060904	9606	9606	High Throughput	-	-	-	Human proteins expressed in S. cerevisiae	-	BIOGRID
843962	9454	108071	114843	223809	-	-	HOMER3	Grm5	HOMER-3|VESL3	6430542K11Rik|AI850523|Glu5R|Gprc1e|mGluR5|mGluR5b	Affinity Capture-Western	physical	Xiao B (1998)	9808458	9606	10090	Low Throughput	-	-	-	-	-	BIOGRID
843967	9454	29546	114843	248180	-	-	HOMER3	Homer1	HOMER-3|VESL3	HOMER1F|Vesl-1	Affinity Capture-Western	physical	Xiao B (1998)	9808458	9606	10116	Low Throughput	-	-	-	-	-	BIOGRID
843968	29546	9454	248180	114843	-	-	Homer1	HOMER3	HOMER1F|Vesl-1	HOMER-3|VESL3	Affinity Capture-Western	physical	Xiao B (1998)	9808458	10116	9606	Low Throughput	-	-	-	-	-	BIOGRID
843972	9454	26557	114843	205015	-	-	HOMER3	Homer2	HOMER-3|VESL3	9330120H11Rik|AW539445|CPD|Vesl-2	Affinity Capture-Western	physical	Xiao B (1998)	9808458	9606	10090	Low Throughput	-	-	-	-	-	BIOGRID
894079	9454	5683	114843	111656	-	-	HOMER3	PSMA2	HOMER-3|VESL3	HC3|MU|PMSA2|PSC2	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
907324	6733	9454	112611	114843	-	-	SRPK2	HOMER3	SFRSK2	HOMER-3|VESL3	Biochemical Activity	physical	Varjosalo M (2013)	23602568	9606	9606	High Throughput	-	Phosphorylation	-	Substrate (Hit) was protein microarray; all hits had Z-score greater than 0.25	-	BIOGRID
1037344	862	9454	107310	114843	-	-	RUNX1T1	HOMER3	AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	HOMER-3|VESL3	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1040478	4342	9454	110483	114843	-	-	MOS	HOMER3	MSV	HOMER-3|VESL3	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1041134	5585	9454	111571	114843	-	-	PKN1	HOMER3	DBK|PAK-1|PAK1|PKN|PKN-ALPHA|PRK1|PRKCL1	HOMER-3|VESL3	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1041182	5682	9454	111655	114843	-	-	PSMA1	HOMER3	HC2|HEL-S-275|NU|PROS30	HOMER-3|VESL3	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1042292	6636	9454	112520	114843	-	-	SNRPF	HOMER3	SMF|Sm-F|snRNP-F	HOMER-3|VESL3	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1043254	7456	9454	113295	114843	-	-	WIPF1	HOMER3	PRPL-2|WASPIP|WIP	HOMER-3|VESL3	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1043856	8664	9454	114213	114843	RP5-1119A7.12-003	-	EIF3D	HOMER3	EIF3S7|eIF3-p66|eIF3-zeta	HOMER-3|VESL3	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044136	9099	9454	114553	114843	-	-	USP2	HOMER3	UBP41|USP9	HOMER-3|VESL3	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044437	9454	9454	114843	114843	-	-	HOMER3	HOMER3	HOMER-3|VESL3	HOMER-3|VESL3	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044438	9454	9456	114843	114845	-	-	HOMER3	HOMER1	HOMER-3|VESL3	HOMER|HOMER1A|HOMER1B|HOMER1C|SYN47|Ves-1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044439	9454	9883	114843	115214	-	-	HOMER3	POM121	HOMER-3|VESL3	P145|POM121A	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044440	9454	10152	114843	115454	-	-	HOMER3	ABI2	HOMER-3|VESL3	ABI-2|ABI2B|AIP-1|AblBP3|SSH3BP2|argBP1|argBPIA|argBPIB	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044441	9454	10529	114843	115784	-	RP11-56H7.1	HOMER3	NEBL	HOMER-3|VESL3	LASP2|LNEBL	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044442	9454	85403	114843	124514	-	-	HOMER3	EAF1	HOMER-3|VESL3	-	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1044443	9454	170954	114843	128092	-	DAAP-285E11.2	HOMER3	PPP1R18	HOMER-3|VESL3	HKMT1098|KIAA1949	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1186693	9456	9454	114845	114843	-	-	HOMER1	HOMER3	HOMER|HOMER1A|HOMER1B|HOMER1C|SYN47|Ves-1	HOMER-3|VESL3	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999999993	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999999993, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1191518	55081	9454	120396	114843	-	-	IFT57	HOMER3	ESRRBL1|HIPPI|MHS4R2	HOMER-3|VESL3	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999681144	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999681144, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1438900	4342	9454	110483	114843	-	-	MOS	HOMER3	MSV	HOMER-3|VESL3	Two-hybrid	physical	Yu H (2011)	21516116	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1439010	5585	9454	111571	114843	-	-	PKN1	HOMER3	DBK|PAK-1|PAK1|PKN|PKN-ALPHA|PRK1|PRKCL1	HOMER-3|VESL3	Two-hybrid	physical	Yu H (2011)	21516116	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1439145	7456	9454	113295	114843	-	-	WIPF1	HOMER3	PRPL-2|WASPIP|WIP	HOMER-3|VESL3	Two-hybrid	physical	Yu H (2011)	21516116	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
