#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
300524	151648	3619	127395	109831	-	-	SGOL1	INCENP	NY-BR-85|SGO|Sgo1	-	Affinity Capture-Western	physical	Kawashima SA (2007)	17322402	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
300525	151648	9212	127395	114646	-	-	SGOL1	AURKB	NY-BR-85|SGO|Sgo1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Kawashima SA (2007)	17322402	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
338598	151648	5347	127395	111362	-	-	SGOL1	PLK1	NY-BR-85|SGO|Sgo1	PLK|STPK13	Affinity Capture-Western	physical	Wang X (2008)	18331714	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
452609	151648	55143	127395	120446	-	-	SGOL1	CDCA8	NY-BR-85|SGO|Sgo1	BOR|BOREALIN|DasraB|MESRGP	Two-hybrid	physical	Tsukahara T (2010)	20739936	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
565387	5515	151648	111507	127395	-	-	PPP2CA	SGOL1	PP2Ac|PP2CA|PP2Calpha|RP-C	NY-BR-85|SGO|Sgo1	Affinity Capture-MS	physical	Glatter T (2009)	19156129	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
565420	5516	151648	111508	127395	-	-	PPP2CB	SGOL1	PP2Abeta|PP2CB	NY-BR-85|SGO|Sgo1	Affinity Capture-MS	physical	Glatter T (2009)	19156129	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
565454	5518	151648	111510	127395	-	-	PPP2R1A	SGOL1	PP2A-Aalpha|PP2AAALPHA|PR65A	NY-BR-85|SGO|Sgo1	Affinity Capture-MS	physical	Glatter T (2009)	19156129	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
575807	72415	151648	215364	127395	-	-	Sgol1	SGOL1	3300001M08Rik|C81037|Sgo1	NY-BR-85|SGO|Sgo1	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
576746	51792	151648	206176	127395	-	-	Ppp2r1a	SGOL1	6330556D22Rik|PP2A|PR65	NY-BR-85|SGO|Sgo1	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
636360	151648	25936	127395	117433	-	DC8	SGOL1	NSL1	NY-BR-85|SGO|Sgo1	C1orf48|MIS14	Co-localization	physical	Kiyomitsu T (2010)	20231385	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
636369	151648	23468	127395	117030	-	-	SGOL1	CBX5	NY-BR-85|SGO|Sgo1	HEL25|HP1|HP1A	Co-localization	physical	Kiyomitsu T (2010)	20231385	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
662997	1994	151648	108309	127395	-	-	ELAVL1	SGOL1	ELAV1|HUR|Hua|MelG	NY-BR-85|SGO|Sgo1	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
723563	151648	701	127395	107166	-	-	SGOL1	BUB1B	NY-BR-85|SGO|Sgo1	BUB1beta|BUBR1|Bub1A|MAD3L|MVA1|SSK1|hBUBR1	Affinity Capture-Western	physical	Yang F (2012)	22374677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
723564	701	151648	107166	127395	-	-	BUB1B	SGOL1	BUB1beta|BUBR1|Bub1A|MAD3L|MVA1|SSK1|hBUBR1	NY-BR-85|SGO|Sgo1	Affinity Capture-Western	physical	Yang F (2012)	22374677	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
810332	23468	151648	117030	127395	-	-	CBX5	SGOL1	HEL25|HP1|HP1A	NY-BR-85|SGO|Sgo1	Affinity Capture-MS	physical	Nozawa RS (2010)	20562864	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1184140	5516	151648	111508	127395	-	-	PPP2CB	SGOL1	PP2Abeta|PP2CB	NY-BR-85|SGO|Sgo1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.986339298	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.986339298, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1427497	8339	151648	113935	127395	-	-	HIST1H2BG	SGOL1	H2B.1A|H2B/a|H2BFA|dJ221C16.8	NY-BR-85|SGO|Sgo1	Proximity Label-MS	physical	Lambert JP (2015)	25281560	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
