#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
66737	175922	178867	41140	43917	T26A5.9	CELE_C18G1.4	dlc-1	pgl-3	CELE_T26A5.9	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
2834556	177461	178867	42581	43917	CELE_ZK381.4	CELE_C18G1.4	pgl-1	pgl-3	-	-	Two-hybrid	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2834558	182022	178867	46885	43917	B0523.3	CELE_C18G1.4	pgl-2	pgl-3	CELE_B0523.3	-	Affinity Capture-Western	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835003	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Affinity Capture-Western	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835005	180326	178867	45286	43917	Y113G7B.17	CELE_C18G1.4	prmt-1	pgl-3	CELE_Y113G7B.17|epg-11	-	Affinity Capture-Western	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835721	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Affinity Capture-Western	physical	Zhang Y (2009)	19167332	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837418	177461	178867	42581	43917	CELE_ZK381.4	CELE_C18G1.4	pgl-1	pgl-3	-	-	Co-localization	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837419	177461	178867	42581	43917	CELE_ZK381.4	CELE_C18G1.4	pgl-1	pgl-3	-	-	Affinity Capture-Western	physical	Kawasaki I (2004)	15238518	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837504	180326	178867	45286	43917	Y113G7B.17	CELE_C18G1.4	prmt-1	pgl-3	CELE_Y113G7B.17|epg-11	-	Biochemical Activity	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837686	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Two-hybrid	physical	Zhang Y (2009)	19167332	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837687	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Co-localization	physical	Zhang Y (2009)	19167332	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837888	172167	178867	37625	43917	CELE_B0261.2	CELE_C18G1.4	let-363	pgl-3	-	-	Affinity Capture-MS	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837892	172167	178867	37625	43917	CELE_B0261.2	CELE_C18G1.4	let-363	pgl-3	-	-	Biochemical Activity	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837894	177461	178867	42581	43917	CELE_ZK381.4	CELE_C18G1.4	pgl-1	pgl-3	-	-	Co-localization	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837895	178867	171787	43917	37273	CELE_C18G1.4	Y39G10AR.10	pgl-3	epg-2	-	CELE_Y39G10AR.10	Co-localization	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837896	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Co-localization	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837898	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Co-fractionation	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2838434	180510	178867	45456	43917	F52D2.4	CELE_C18G1.4	meg-3	pgl-3	gei-12|CELE_F52D2.4	-	Co-localization	physical	Putnam A (2019)	30833787	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2838435	180510	178867	45456	43917	F52D2.4	CELE_C18G1.4	meg-3	pgl-3	gei-12|CELE_F52D2.4	-	Reconstituted Complex	physical	Putnam A (2019)	30833787	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2839583	178867	178867	43917	43917	CELE_C18G1.4	CELE_C18G1.4	pgl-3	pgl-3	-	-	Co-fractionation	physical	Aoki ST (2016)	26787882	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2839584	178867	178867	43917	43917	CELE_C18G1.4	CELE_C18G1.4	pgl-3	pgl-3	-	-	Reconstituted Complex	physical	Aoki ST (2016)	26787882	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2867840	178867	179026	43917	44072	CELE_C18G1.4	CELE_T05H4.13	pgl-3	alh-4	-	-	Affinity Capture-MS	physical	Chen JX (2016)	26912668	6239	6239	High Throughput	-	-	-	an interaction was considered high confidence using a measure that combined fold-change of prey abundance as well as p-value of a Student's t-test for experimental versus control purifications|the bait protein was affinity purified and the prey protein was identified as an interactor by mass spectrometry (MS)|the p-value is reported here	-	BIOGRID
2867841	178867	175643	43917	40877	CELE_C18G1.4	CELE_C35D10.9	pgl-3	ced-4	-	-	Affinity Capture-MS	physical	Chen JX (2016)	26912668	6239	6239	High Throughput	-	-	-	an interaction was considered high confidence using a measure that combined fold-change of prey abundance as well as p-value of a Student's t-test for experimental versus control purifications|the bait protein was affinity purified and the prey protein was identified as an interactor by mass spectrometry (MS)|the p-value is reported here	-	BIOGRID
2867842	178867	171917	43917	37393	CELE_C18G1.4	Y47G6A.8	pgl-3	crn-1	-	CELE_Y47G6A.8	Affinity Capture-MS	physical	Chen JX (2016)	26912668	6239	6239	High Throughput	-	-	-	an interaction was considered high confidence using a measure that combined fold-change of prey abundance as well as p-value of a Student's t-test for experimental versus control purifications|the bait protein was affinity purified and the prey protein was identified as an interactor by mass spectrometry (MS)|the p-value is reported here	-	BIOGRID
