#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
255755	23405	26523	116978	117726	-	RP4-789D17.1	DICER1	AGO1	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	EIF2C|EIF2C1|GERP95|Q99	Affinity Capture-Western	physical	Sasaki T (2003)	12906857	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
264350	23112	26523	116735	117726	RP5-1042K10.7	RP4-789D17.1	TNRC6B	AGO1	-	EIF2C|EIF2C1|GERP95|Q99	Reconstituted Complex	physical	Till S (2007)	17891150	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
438259	7157	26523	113010	117726	-	RP4-789D17.1	TP53	AGO1	BCC7|LFS1|P53|TRP53	EIF2C|EIF2C1|GERP95|Q99	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
438284	8626	26523	114181	117726	-	RP4-789D17.1	TP63	AGO1	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	EIF2C|EIF2C1|GERP95|Q99	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
438313	7161	26523	113014	117726	-	RP4-789D17.1	TP73	AGO1	P73	EIF2C|EIF2C1|GERP95|Q99	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
470869	5430	26523	111426	117726	-	RP4-789D17.1	POLR2A	AGO1	POLR2|POLRA|RPB1|RPBh1|RPO2|RPOL2|RpIILS|hRPB220|hsRPB1	EIF2C|EIF2C1|GERP95|Q99	Affinity Capture-Western	physical	Kim DH (2006)	16936726	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
561164	7316	26523	113164	117726	-	RP4-789D17.1	UBC	AGO1	HMG20	EIF2C|EIF2C1|GERP95|Q99	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
566960	10526	26523	115781	117726	-	RP4-789D17.1	IPO8	AGO1	RANBP8	EIF2C|EIF2C1|GERP95|Q99	Reconstituted Complex	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566964	10526	26523	115781	117726	-	RP4-789D17.1	IPO8	AGO1	RANBP8	EIF2C|EIF2C1|GERP95|Q99	Affinity Capture-Western	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566968	26523	10526	117726	115781	RP4-789D17.1	-	AGO1	IPO8	EIF2C|EIF2C1|GERP95|Q99	RANBP8	Co-localization	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
