#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
119943	11284	58529	116440	121849	-	-	PNKP	MYOZ1	EIEE10|MCSZ|PNK	CS-2|FATZ|MYOZ	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120459	4110	58529	110284	121849	-	-	MAGEA11	MYOZ1	CT1.11|MAGE-11|MAGE11|MAGEA-11	CS-2|FATZ|MYOZ	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121913	81	58529	106596	121849	-	-	ACTN4	MYOZ1	ACTININ-4|FSGS|FSGS1	CS-2|FATZ|MYOZ	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122121	87	58529	106602	121849	-	-	ACTN1	MYOZ1	BDPLT15	CS-2|FATZ|MYOZ	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
279863	2318	58529	108607	121849	-	-	FLNC	MYOZ1	ABP-280|ABP280A|ABPA|ABPL|FLN2|MFM5|MPD4	CS-2|FATZ|MYOZ	Two-hybrid	physical	Takada F (2001)	11171996	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
279864	2318	58529	108607	121849	-	-	FLNC	MYOZ1	ABP-280|ABP280A|ABPA|ABPL|FLN2|MFM5|MPD4	CS-2|FATZ|MYOZ	Affinity Capture-Western	physical	Takada F (2001)	11171996	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282760	58529	8557	121849	114127	-	-	MYOZ1	TCAP	CS-2|FATZ|MYOZ	CMD1N|LGMD2G|T-cap|TELE|telethonin	Affinity Capture-Western	physical	Frey N (2002)	11842093	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
282761	58529	2318	121849	108607	-	-	MYOZ1	FLNC	CS-2|FATZ|MYOZ	ABP-280|ABP280A|ABPA|ABPL|FLN2|MFM5|MPD4	Affinity Capture-Western	physical	Frey N (2002)	11842093	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287443	88	58529	106603	121849	-	-	ACTN2	MYOZ1	CMD1AA	CS-2|FATZ|MYOZ	Two-hybrid	physical	Faulkner G (2000)	10984498	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287444	58529	88	121849	106603	-	-	MYOZ1	ACTN2	CS-2|FATZ|MYOZ	CMD1AA	Reconstituted Complex	physical	Faulkner G (2000)	10984498	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287445	8557	58529	114127	121849	-	-	TCAP	MYOZ1	CMD1N|LGMD2G|T-cap|TELE|telethonin	CS-2|FATZ|MYOZ	Reconstituted Complex	physical	Faulkner G (2000)	10984498	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
287446	2318	58529	108607	121849	-	-	FLNC	MYOZ1	ABP-280|ABP280A|ABPA|ABPL|FLN2|MFM5|MPD4	CS-2|FATZ|MYOZ	Two-hybrid	physical	Faulkner G (2000)	10984498	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
305866	5530	58529	111522	121849	-	-	PPP3CA	MYOZ1	CALN|CALNA|CALNA1|CCN1|CNA1|PPP2B	CS-2|FATZ|MYOZ	Affinity Capture-Western	physical	Frey N (2000)	11114196	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
668693	5563	58529	111550	121849	-	-	PRKAA2	MYOZ1	AMPK|AMPK2|AMPKa2|PRKAA	CS-2|FATZ|MYOZ	Two-hybrid	physical	Moreno D (2009)	19616115	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
680226	58529	84676	121849	124195	-	-	MYOZ1	TRIM63	CS-2|FATZ|MYOZ	IRF|MURF1|MURF2|RNF28|SMRZ	Two-hybrid	physical	Moriscot AS (2010)	20149877	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
