#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
242423	10921	53981	116125	119826	-	-	RNPS1	CPSF2	E5.1	CPSF100	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.366	-	-	Exogenous expression of bait	-	BIOGRID
275285	1478	53981	107860	119826	RP1-146H21.2	-	CSTF2	CPSF2	CstF-64	CPSF100	Affinity Capture-MS	physical	Takagaki Y (2000)	10669729	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566589	79577	53981	122724	119826	-	-	CDC73	CPSF2	C1orf28|FIHP|HPTJT|HRPT1|HRPT2|HYX	CPSF100	Affinity Capture-MS	physical	Rozenblatt-Rosen O (2009)	19136632	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566597	79577	53981	122724	119826	-	-	CDC73	CPSF2	C1orf28|FIHP|HPTJT|HRPT1|HRPT2|HYX	CPSF100	Affinity Capture-Western	physical	Rozenblatt-Rosen O (2009)	19136632	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
573627	10978	53981	116174	119826	-	-	CLP1	CPSF2	HEAB|hClp1	CPSF100	Affinity Capture-Western	physical	de Vries H (2000)	11060040	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590824	53981	23283	119826	116881	-	-	CPSF2	CSTF2T	CPSF100	CstF-64T	Affinity Capture-Western	physical	Kaufmann I (2004)	14749727	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
594644	5684	53981	111657	119826	-	-	PSMA3	CPSF2	HC8|PSC3	CPSF100	Affinity Capture-MS	physical	Fedorova OA (2011)	22079093	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
603697	6908	53981	112771	119826	RP1-191N21.3	-	TBP	CPSF2	GTF2D|GTF2D1|HDL4|SCA17|TFIID	CPSF100	Affinity Capture-RNA	physical	Dantonel JC (1997)	9311784	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
613078	56916	53981	121244	119826	-	-	SMARCAD1	CPSF2	ADERM|ETL1|HEL1	CPSF100	Affinity Capture-MS	physical	Rowbotham SP (2011)	21549307	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
662798	1994	53981	108309	119826	-	-	ELAVL1	CPSF2	ELAV1|HUR|Hua|MelG	CPSF100	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
