#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1182565	124149	146713	125851	127004	hCG_24312	hCG_1776007	ANKRD26P1	RBFOX3	-	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.958134759	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.958134759, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1185643	116254	146713	125494	127004	RP1-12G14.8	hCG_1776007	GINM1	RBFOX3	C6orf72|dJ12G14.2	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.940390972	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.940390972, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1194450	10884	146713	116091	127004	BM-047	hCG_1776007	MRPS30	RBFOX3	MRP-S30|PAP|PDCD9|S30mt	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.963646286	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.963646286, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1196295	145389	146713	126909	127004	-	hCG_1776007	SLC38A6	RBFOX3	NAT-1|SNAT6	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.951038004	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.951038004, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
2221106	84908	146713	124345	127004	-	hCG_1776007	FAM136A	RBFOX3	-	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999997977	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999997977, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2241537	6518	146713	112409	127004	RP5-963K15.1	hCG_1776007	SLC2A5	RBFOX3	GLUT-5|GLUT5	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.989334196	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.989334196, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2567497	146713	7099	127004	112954	hCG_1776007	-	RBFOX3	TLR4	FOX-3|FOX3|HRNBP3|NEUN	ARMD10|CD284|TLR-4|TOLL	Co-localization	physical	Zhang Z (2018)	29382328	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2567498	146713	3146	127004	109389	hCG_1776007	RP11-550P23.1	RBFOX3	HMGB1	FOX-3|FOX3|HRNBP3|NEUN	HMG1|HMG3|SBP-1	Co-localization	physical	Zhang Z (2018)	29382328	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2751008	57664	146713	121697	127004	-	hCG_1776007	PLEKHA4	RBFOX3	PEPP1	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Shami Shah A (2019)	31091453	9606	9606	High Throughput	-	-	-	assayed using SILAC IP (stable isotope labeling by amino acids in cell culture-based quantitative immunoprecipitation)|only hits identified in both pull-downs have been included	-	BIOGRID
2755495	43740571	146713	4383846	127004	GU280_gp05	hCG_1776007	M	RBFOX3	mem|membrane|SARS-CoV2 M|M protein|SARS-CoV-2 M|VME1_SARS2|PRO_0000449652	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Stukalov A (2021)	33845483	2697049	9606	High Throughput	6.840383335	-	-	Affinity capture-MS was carried out using HA-tagged viral proteins as baits in human A549 lung carcinoma cells. Significant interactions were identified as those where the prey protein was at least 4 times enriched against the background (median log2 score > 2) with a p-value <= 1E-3.	-	BIOGRID
2757059	146713	23543	127004	117087	hCG_1776007	RP1-41P2.9	RBFOX3	RBFOX2	FOX-3|FOX3|HRNBP3|NEUN	FOX2|Fox-2|HNRBP2|HRNBP2|RBM9|RTA|dJ106I20.3|fxh	Affinity Capture-Western	physical	Choi S (2018)	29170129	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2757060	146713	54715	127004	120107	hCG_1776007	-	RBFOX3	RBFOX1	FOX-3|FOX3|HRNBP3|NEUN	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	Affinity Capture-Western	physical	Choi S (2018)	29170129	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2757061	146713	23543	127004	117087	hCG_1776007	RP1-41P2.9	RBFOX3	RBFOX2	FOX-3|FOX3|HRNBP3|NEUN	FOX2|Fox-2|HNRBP2|HRNBP2|RBM9|RTA|dJ106I20.3|fxh	Reconstituted Complex	physical	Choi S (2018)	29170129	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2757062	146713	54715	127004	120107	hCG_1776007	-	RBFOX3	RBFOX1	FOX-3|FOX3|HRNBP3|NEUN	2BP1|A2BP1|FOX-1|FOX1|HRNBP1	Reconstituted Complex	physical	Choi S (2018)	29170129	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2779791	5573	146713	111559	127004	-	hCG_1776007	PRKAR1A	RBFOX3	ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Kennedy SA (2020)	31980649	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2781406	6457	146713	112354	127004	-	hCG_1776007	SH3GL3	RBFOX3	CNSA3|EEN-B2|HsT19371|SH3D2C|SH3P13	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Kennedy SA (2020)	31980649	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2831677	10112	146713	115418	127004	-	hCG_1776007	KIF20A	RBFOX3	MKLP2|RAB6KIFL	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Capalbo L (2019)	31586073	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2853850	64745	146713	122261	127004	-	hCG_1776007	METTL17	RBFOX3	METT11D1	FOX-3|FOX3|HRNBP3|NEUN	Proximity Label-MS	physical	Antonicka H (2020)	32877691	9606	9606	High Throughput	0.95	-	-	interaction assayed using BioID|interactions were considered high confidence if they had a Bayesian False Discovery Rate of 1% or less|the Saint Score for the interaction (or the maximum of any bait-prey combinations that had multiple scores) is shown	-	BIOGRID
2891218	23152	146713	116767	127004	-	hCG_1776007	CIC	RBFOX3	-	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Weissmann S (2018)	29844126	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2901156	23435	146713	117003	127004	RP4-635E18.2	hCG_1776007	TARDBP	RBFOX3	ALS10|TDP-43	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-Western	physical	Wang G (2015)	26334913	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2974820	23376	146713	116953	127004	RP3-393D12.1	hCG_1776007	UFL1	RBFOX3	KIAA0776|Maxer|NLBP|RCAD	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Liu J (2020)	32807901	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2976006	65992	146713	122441	127004	-	hCG_1776007	DDRGK1	RBFOX3	C20orf116|UFBP1|dJ1187M17.3	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Liu J (2020)	32807901	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
3032239	84908	146713	124345	127004	-	hCG_1776007	FAM136A	RBFOX3	-	FOX-3|FOX3|HRNBP3|NEUN	Affinity Capture-MS	physical	Huttlin EL (2021)	33961781	9606	9606	High Throughput	0.999997597	-	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.999997597, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID
