#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
119812	9146	80318	114593	123231	-	FKSG21	HGS	GKAP1	HRS	GKAP42	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120125	9513	80318	114890	123231	-	FKSG21	FXR2	GKAP1	FMR1L2|FXR2P	GKAP42	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
657233	23677	80318	117194	123231	-	FKSG21	SH3BP4	GKAP1	BOG25|TTP	GKAP42	Two-hybrid	physical	Thalappilly S (2008)	18654987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
720402	56893	80318	121223	123231	RP11-336K24.8	FKSG21	UBQLN4	GKAP1	A1U|A1Up|C1orf6|CIP75|UBIN	GKAP42	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
720630	29979	80318	119007	123231	-	FKSG21	UBQLN1	GKAP1	DA41|DSK2|PLIC-1|UBQN|XDRP1	GKAP42	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892586	80318	3290	123231	109523	FKSG21	-	GKAP1	HSD11B1	GKAP42	11-DH|11-beta-HSD1|CORTRD2|HDL|HSD11|HSD11B|HSD11L|SDR26C1	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
892587	80318	54345	123231	119936	FKSG21	-	GKAP1	SOX18	GKAP42	HLTS	Two-hybrid	physical	Wang J (2011)	21988832	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
951481	4692	80318	110772	123231	-	FKSG21	NDN	GKAP1	HsT16328|PWCR	GKAP42	Two-hybrid	physical	Corominas R (2014)	24722188	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1037951	1719	80318	108065	123231	-	FKSG21	DHFR	GKAP1	DHFRP1|DYR	GKAP42	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1040415	4236	80318	110394	123231	-	FKSG21	MFAP1	GKAP1	-	GKAP42	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1049178	80318	80318	123231	123231	FKSG21	FKSG21	GKAP1	GKAP1	GKAP42	GKAP42	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1049179	80318	374659	123231	131914	FKSG21	-	GKAP1	HDDC3	GKAP42	(ppGpp)ase|MESH1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1429971	23322	80318	116911	123231	-	FKSG21	RPGRIP1L	GKAP1	CORS3|FTM|JBTS7|MKS5|NPHP8|PPP1R134	GKAP42	Affinity Capture-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1433245	23322	80318	116911	123231	-	FKSG21	RPGRIP1L	GKAP1	CORS3|FTM|JBTS7|MKS5|NPHP8|PPP1R134	GKAP42	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1456284	3091	80318	109338	123231	-	FKSG21	HIF1A	GKAP1	HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78	GKAP42	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1456285	7414	80318	113257	123231	RP11-178G16.3	FKSG21	VCL	GKAP1	CMD1W|CMH15|HEL114|MV|MVCL	GKAP42	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1456286	10763	80318	115983	123231	Nbla00170	FKSG21	NES	GKAP1	-	GKAP42	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1456287	81930	80318	123630	123231	OK/SW-cl.108	FKSG21	KIF18A	GKAP1	MS-KIF18A|PPP1R99	GKAP42	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1470171	51792	80318	206176	123231	-	FKSG21	Ppp2r1a	GKAP1	6330556D22Rik|PP2A|PR65	GKAP42	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1470172	66591	80318	211577	123231	-	FKSG21	Mad2l1bp	GKAP1	0610009D16Rik|2510031P20Rik|AU018945|AW550977|C76045|CMT2A|CMT2B|Mad2lbp|mKIAA0110	GKAP42	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1470173	107995	80318	223749	123231	RP23-145E1.5	FKSG21	Cdc20	GKAP1	2310042N09Rik|C87100|p55CDC	GKAP42	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
2328236	80318	23322	123231	116911	FKSG21	-	GKAP1	RPGRIP1L	GKAP42	CORS3|FTM|JBTS7|MKS5|NPHP8|PPP1R134	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2329261	80318	138716	123231	126519	FKSG21	-	GKAP1	RPP25L	GKAP42	C9orf23|bA296L22.5	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2329862	261734	80318	129286	123231	RP11-33M12.1	FKSG21	NPHP4	GKAP1	POC10|SLSN4	GKAP42	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2330149	80318	79736	123231	122850	FKSG21	-	GKAP1	TEFM	GKAP42	C17orf42	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331648	80318	1894	123231	108223	FKSG21	-	GKAP1	ECT2	GKAP42	ARHGEF31	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2331809	80318	23277	123231	116878	FKSG21	-	GKAP1	CLUH	GKAP42	CLU1|KIAA0664	Affinity Capture-MS	physical	Boldt K (2016)	27173435	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2393074	854102	80318	34349	123231	YOL054W	FKSG21	PSH1	GKAP1	ubiquitin-protein ligase PSH1	GKAP42	Two-hybrid	physical	Zhong Q (2016)	27107014	559292	9606	High Throughput	-	-	-	-	-	BIOGRID
2393630	850998	80318	31557	123231	YLR291C	FKSG21	GCD7	GKAP1	translation initiation factor eIF2B subunit beta|L000000675	GKAP42	Two-hybrid	physical	Zhong Q (2016)	27107014	559292	9606	High Throughput	-	-	-	-	-	BIOGRID
2496321	4692	80318	110772	123231	-	FKSG21	NDN	GKAP1	HsT16328|PWCR	GKAP42	Two-hybrid	physical	Yang X (2016)	26871637	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
