#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2834993	173196	171787	38591	37273	M01E5.6	Y39G10AR.10	sepa-1	epg-2	CELE_M01E5.6	CELE_Y39G10AR.10	Affinity Capture-Western	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835003	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Affinity Capture-Western	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835447	173196	174050	38591	39390	M01E5.6	C32D5.9	sepa-1	lgg-1	CELE_M01E5.6	CELE_C32D5.9|atg-8.1|2G636	Affinity Capture-Western	physical	Wu F (2015)	26687600	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835448	173196	177989	38591	43089	M01E5.6	CELE_ZK593.6	sepa-1	lgg-2	CELE_M01E5.6	-	Affinity Capture-Western	physical	Wu F (2015)	26687600	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835686	173196	173196	38591	38591	M01E5.6	M01E5.6	sepa-1	sepa-1	CELE_M01E5.6	CELE_M01E5.6	Affinity Capture-Western	physical	Zhang Y (2009)	19167332	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835721	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Affinity Capture-Western	physical	Zhang Y (2009)	19167332	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835722	174050	173196	39390	38591	C32D5.9	M01E5.6	lgg-1	sepa-1	CELE_C32D5.9|atg-8.1|2G636	CELE_M01E5.6	Affinity Capture-Western	physical	Zhang Y (2009)	19167332	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837502	173196	171787	38591	37273	M01E5.6	Y39G10AR.10	sepa-1	epg-2	CELE_M01E5.6	CELE_Y39G10AR.10	Co-localization	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837686	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Two-hybrid	physical	Zhang Y (2009)	19167332	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837687	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Co-localization	physical	Zhang Y (2009)	19167332	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837688	174050	173196	39390	38591	C32D5.9	M01E5.6	lgg-1	sepa-1	CELE_C32D5.9|atg-8.1|2G636	CELE_M01E5.6	Co-localization	physical	Zhang Y (2009)	19167332	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837896	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Co-localization	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837897	173196	177461	38591	42581	M01E5.6	CELE_ZK381.4	sepa-1	pgl-1	CELE_M01E5.6	-	Co-localization	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837898	173196	178867	38591	43917	M01E5.6	CELE_C18G1.4	sepa-1	pgl-3	CELE_M01E5.6	-	Co-fractionation	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837899	173196	177461	38591	42581	M01E5.6	CELE_ZK381.4	sepa-1	pgl-1	CELE_M01E5.6	-	Co-fractionation	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2867864	178867	173196	43917	38591	CELE_C18G1.4	M01E5.6	pgl-3	sepa-1	-	CELE_M01E5.6	Affinity Capture-MS	physical	Chen JX (2016)	26912668	6239	6239	High Throughput	-	-	-	an interaction was considered high confidence using a measure that combined fold-change of prey abundance as well as p-value of a Student's t-test for experimental versus control purifications|the bait protein was affinity purified and the prey protein was identified as an interactor by mass spectrometry (MS)|the p-value is reported here	-	BIOGRID
3386931	180510	173196	45456	38591	F52D2.4	M01E5.6	meg-3	sepa-1	gei-12|CELE_F52D2.4	CELE_M01E5.6	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	-0.179823057	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID

