#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
243208	55723	51081	120845	119271	-	-	ASF1B	MRPS7	CIA-II	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.306	-	-	Exogenous expression of bait	-	BIOGRID
561017	7316	51081	113164	119271	-	-	UBC	MRPS7	HMG20	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Affinity Capture-MS	physical	Matsumoto M (2005)	16196087	9606	9606	High Throughput	-	-	-	#LPPI|Likely protein-protein interaction|native only	-	BIOGRID
566322	3396	51081	109622	119271	-	-	ICT1	MRPS7	DS-1|DS1|MRP-L58	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Affinity Capture-MS	physical	Richter R (2010)	20186120	9606	9606	High Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
576017	22608	51081	204613	119271	RP24-363D14.2	-	Ybx1	MRPS7	1700102N10Rik|C79409|EF1A|MSY1|Nsep1|YB-1|dbpB|mYB-1a	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
576645	52276	51081	206490	119271	RP23-168M5.8	-	Cdca8	MRPS7	4831429J16Rik|AU044747|BOR|Borealin|D4Ertd421e|DasraB|MESRGP	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
686881	8452	51081	114030	119271	-	-	CUL3	MRPS7	CUL-3|PHA2E	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
690452	55832	51081	120937	119271	-	-	CAND1	MRPS7	TIP120|TIP120A	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged CAND1|exogenous expression of bait	-	BIOGRID
745641	51081	64432	119271	122180	-	-	MRPS7	MRPS25	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	MRP-S25|RPMS25	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.961	-	-	Denoised score >= 0.75	-	BIOGRID
745723	65008	51081	122371	119271	BM-022	-	MRPL1	MRPS7	BM022|L1MT|MRP-L1	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.889	-	-	Denoised score >= 0.75	-	BIOGRID
745734	51081	64965	119271	122360	-	-	MRPS7	MRPS9	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	MRP-S9|RPMS9|S9mt	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.883	-	-	Denoised score >= 0.75	-	BIOGRID
745903	116541	51081	125522	119271	-	-	MRPL54	MRPS7	L54mt|MRP-L54	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.803	-	-	Denoised score >= 0.75	-	BIOGRID
746023	10573	51081	115824	119271	Z97634.1-001	-	MRPL28	MRPS7	MAAT1|p15	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.764	-	-	Denoised score >= 0.75	-	BIOGRID
746151	7284	51081	113135	119271	-	-	TUFM	MRPS7	COXPD4|EF-TuMT|EFTU|P43	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.937	-	-	Denoised score >= 0.75	-	BIOGRID
747125	1915	51081	108237	119271	RP11-505P4.2	-	EEF1A1	MRPS7	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.943	-	-	Denoised score >= 0.75	-	BIOGRID
749155	3182	51081	109423	119271	-	-	HNRNPAB	MRPS7	ABBP1|HNRPAB	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.848	-	-	Denoised score >= 0.75	-	BIOGRID
752778	59	51081	106574	119271	GIG46	-	ACTA2	MRPS7	AAT6|ACTSA|MYMY5	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.776	-	-	Denoised score >= 0.75	-	BIOGRID
753432	5686	51081	111659	119271	-	-	PSMA5	MRPS7	PSC5|ZETA	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.765	-	-	Denoised score >= 0.75	-	BIOGRID
754386	55178	51081	120477	119271	HC90	-	RNMTL1	MRPS7	MRM3|RMTL1	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.752	-	-	Denoised score >= 0.75	-	BIOGRID
829837	708	51081	107169	119271	-	-	C1QBP	MRPS7	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	Affinity Capture-MS	physical	Yagi M (2012)	22904065	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
