#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
269153	841810	837433	27035	22674	AT1G53720	AT1G09140	CYP59	ATSRP30	ATCYP59|CYCLOPHILIN 59|F22G10.24|F22G10_24	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	Reconstituted Complex	physical	Gullerova M (2006)	16497658	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296919	831999	837433	17275	22674	AT5G18810	AT1G09140	SCL28	ATSRP30	F17K4.60|F17K4_60|SC35-like splicing factor 28	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296921	824712	837433	10028	22674	AT3G55460	AT1G09140	SCL30	ATSRP30	SC35-like splicing factor 30	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
296927	820559	837433	5893	22674	AT3G13570	AT1G09140	SCL30A	ATSRP30	SC35-like splicing factor 30A	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	Reconstituted Complex	physical	Lorkovic ZJ (2008)	18674533	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
336757	818938	837433	4275	22674	AT2G43370	AT1G09140	AT2G43370	ATSRP30	T1O24.11	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	Reconstituted Complex	physical	Lorkovic ZJ (2005)	15987817	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
595792	837433	830307	22674	15587	AT1G09140	AT5G04280	ATSRP30	AT5G04280	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	T19N18.10|T19N18_10	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
596180	837433	817470	22674	2820	AT1G09140	AT2G29210	ATSRP30	AT2G29210	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	F16P2.41|F16P2_41	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
599083	837433	835279	22674	20524	AT1G09140	AT5G52040	ATSRP30	ATRSP41	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	ARGININE/SERINE-RICH SPLICING FACTOR|MSG15.12|MSG15_12	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
599084	837433	824230	22674	9548	AT1G09140	AT3G50670	ATSRP30	U1-70K	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	U1 SNRNP 70K TRUNCATED PROTEIN|U1 small nuclear ribonucleoprotein-70K|U1SNRNP|U1SNRNP-SPECIFIC PROTEIN	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
599085	837433	835329	22674	20574	AT1G09140	AT5G52530	ATSRP30	AT5G52530	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	T4M5.4|T4M5_4	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
599086	837433	842359	22674	27583	AT1G09140	AT1G60650	ATSRP30	AT1G60650	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	F8A5.17|F8A5_17	Two-hybrid	physical	Braun P (2011)	21798944	3702	3702	High Throughput	-	-	-	-	-	BIOGRID
2918808	837433	824105	22674	9423	AT1G09140	AT3G49430	ATSRP30	SRp34a	ATSRP30.1|ATSRP30.2|SERINE-ARGININE PROTEIN 30|T12M4.19|T12M4_19	SER/ARG-rich protein 34A	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.687114261	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DRFV, Annotation: splicing factor|Interactor B: Orthogroup ENOG411DW6E, Annotation: pre-mRNA-splicing factor SF2-like	-	BIOGRID
