#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
424461	57602	389421	121651	133142	-	RP3-522O2.2	USP36	LIN28B	DUB1	CSDD2	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.04	-	-	exogenous expression of bait	-	BIOGRID
689630	10987	389421	116183	133142	-	RP3-522O2.2	COPS5	LIN28B	CSN5|JAB1|MOV-34|SGN5	CSDD2	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged COPS5|exogenous expression of bait	-	BIOGRID
935230	389421	7316	133142	113164	RP3-522O2.2	-	LIN28B	UBC	CSDD2	HMG20	Affinity Capture-Western	physical	Lee SH (2014)	24602972	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
935235	389421	131405	133142	126279	RP3-522O2.2	-	LIN28B	TRIM71	CSDD2	LIN-41|LIN41	Affinity Capture-Western	physical	Lee SH (2014)	24602972	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
935236	131405	389421	126279	133142	-	RP3-522O2.2	TRIM71	LIN28B	LIN-41|LIN41	CSDD2	Affinity Capture-Western	physical	Lee SH (2014)	24602972	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
935239	389421	131405	133142	126279	RP3-522O2.2	-	LIN28B	TRIM71	CSDD2	LIN-41|LIN41	Reconstituted Complex	physical	Lee SH (2014)	24602972	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
935241	131405	389421	126279	133142	-	RP3-522O2.2	TRIM71	LIN28B	LIN-41|LIN41	CSDD2	Biochemical Activity	physical	Lee SH (2014)	24602972	9606	9606	Low Throughput	-	Ubiquitination	-	-	-	BIOGRID
941859	389421	1993	133142	108308	RP3-522O2.2	RP11-315I14.4	LIN28B	ELAVL2	CSDD2	HEL-N1|HELN1|HUB	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941860	389421	2091	133142	108399	RP3-522O2.2	-	LIN28B	FBL	CSDD2	FIB|FLRN|RNU3IP1	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941861	389421	11103	133142	116284	RP3-522O2.2	-	LIN28B	KRR1	CSDD2	HRB2|RIP-1	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941862	389421	113251	133142	125238	RP3-522O2.2	PP13296	LIN28B	LARP4	CSDD2	-	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941863	389421	84365	133142	124066	RP3-522O2.2	-	LIN28B	NIFK	CSDD2	MKI67IP|Nopp34	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941864	389421	4686	133142	110766	RP3-522O2.2	RP11-546O6.1	LIN28B	NCBP1	CSDD2	CBP80|NCBP|Sto1	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941865	389421	55651	133142	120783	RP3-522O2.2	HSPC286	LIN28B	NHP2	CSDD2	DKCB2|NHP2P|NOLA2	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941866	389421	55505	133142	120685	RP3-522O2.2	-	LIN28B	NOP10	CSDD2	DKCB1|NOLA3|NOP10P	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941867	389421	51808	133142	119734	RP3-522O2.2	-	LIN28B	PHAX	CSDD2	RNUXA	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941868	389421	5814	133142	111773	RP3-522O2.2	-	LIN28B	PURB	CSDD2	PURBETA	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941869	389421	5813	133142	111772	RP3-522O2.2	hCG_45299	LIN28B	PURA	CSDD2	PUR-ALPHA|PUR1|PURALPHA	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941870	389421	85364	133142	124492	RP3-522O2.2	-	LIN28B	ZCCHC3	CSDD2	C20orf99	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941871	389421	26024	133142	117493	RP3-522O2.2	-	LIN28B	PTCD1	CSDD2	-	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941872	389421	6637	133142	112521	RP3-522O2.2	-	LIN28B	SNRPG	CSDD2	SMG|Sm-G	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941873	389421	22913	133142	116575	RP3-522O2.2	RP1-64K7.1	LIN28B	RALY	CSDD2	HNRPCL2|P542	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941874	389421	22916	133142	116578	RP3-522O2.2	PIG55	LIN28B	NCBP2	CSDD2	CBC2|CBP20|NIP1	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941875	389421	6629	133142	112513	RP3-522O2.2	-	LIN28B	SNRPB2	CSDD2	Msl1	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941876	389421	51574	133142	119619	RP3-522O2.2	HDCMA18P	LIN28B	LARP7	CSDD2	ALAZS|PIP7S	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941877	389421	23029	133142	116668	RP3-522O2.2	RP11-739C15.1	LIN28B	RBM34	CSDD2	-	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941878	389421	6636	133142	112520	RP3-522O2.2	-	LIN28B	SNRPF	CSDD2	SMF|Sm-F|snRNP-F	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941879	389421	6626	133142	112510	RP3-522O2.2	-	LIN28B	SNRPA	CSDD2	Mud1|U1-A|U1A	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941880	389421	26995	133142	117942	RP3-522O2.2	RP11-339B21.1	LIN28B	TRUB2	CSDD2	CLONE24922	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
