#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
278365	4036	56899	110216	121229	-	-	LRP2	ANKS1B	DBS|GP330	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	Two-hybrid	physical	Petersen HH (2003)	12508107	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
559055	56899	7316	121229	113164	-	-	ANKS1B	UBC	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	HMG20	Two-hybrid	physical	Kim J (2010)	20100865	9606	9606	Low Throughput	-	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID
559056	7316	56899	113164	121229	-	-	UBC	ANKS1B	HMG20	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	Reconstituted Complex	physical	Kim J (2010)	20100865	9606	9606	Low Throughput	-	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID
684798	4035	56899	110215	121229	-	-	LRP1	ANKS1B	A2MR|APOER|APR|CD91|IGFBP3R|LRP|LRP1A|TGFBR5	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	Two-hybrid	physical	Kajiwara Y (2010)	20205790	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
739526	56899	351	121229	106848	-	-	ANKS1B	APP	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	21832049	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
833559	1956	56899	108276	121229	-	-	EGFR	ANKS1B	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	Protein-peptide	physical	Jones RB (2006)	16273093	9606	9606	High Throughput	-	-	-	interaction detected by probing protein array with labeled peptides	-	BIOGRID
833560	2064	56899	108376	121229	-	-	ERBB2	ANKS1B	CD340|HER-2|HER-2/neu|HER2|MLN 19|NEU|NGL|TKR1	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	Protein-peptide	physical	Jones RB (2006)	16273093	9606	9606	High Throughput	-	-	-	interaction detected by probing protein array with labeled peptides	-	BIOGRID
833561	2066	56899	108378	121229	-	-	ERBB4	ANKS1B	ALS19|HER4|p180erbB4	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	Protein-peptide	physical	Jones RB (2006)	16273093	9606	9606	High Throughput	-	-	-	interaction detected by probing protein array with labeled peptides	-	BIOGRID
1059872	56899	2046	121229	108360	-	RP1-61A9.3	ANKS1B	EPHA8	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	EEK|EK3|HEK3	Affinity Capture-Western	physical	Kim J (2010)	20100865	9606	9606	Low Throughput	-	-	-	AIDA-1 and ODIN show a preference for ubiquitinated EPHA8	-	BIOGRID
1416324	9610	56899	114972	121229	-	-	RIN1	ANKS1B	-	AIDA|AIDA-1|ANKS2|EB-1|EB1|cajalin-2	Two-hybrid	physical	Grossmann A (2015)	25814554	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
