#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
281037	817252	817252	2604	2604	AT2G27100	AT2G27100	SE	SE	SERRATE|T20P8.15|T20P8_15	SERRATE|T20P8.15|T20P8_15	PCA	physical	Fang Y (2007)	17442570	3702	3702	Low Throughput	-	-	-	BiFC	-	BIOGRID
281038	817252	839574	2604	24809	AT2G27100	AT1G01040	SE	DCL1	SERRATE|T20P8.15|T20P8_15	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	PCA	physical	Fang Y (2007)	17442570	3702	3702	Low Throughput	-	-	-	BiFC	-	BIOGRID
281039	817252	837498	2604	22739	AT2G27100	AT1G09700	SE	HYL1	SERRATE|T20P8.15|T20P8_15	DRB1|DSRNA-BINDING PROTEIN 1|F21M12.9|F21M12_9|HYPONASTIC LEAVES 1	PCA	physical	Fang Y (2007)	17442570	3702	3702	Low Throughput	-	-	-	BiFC	-	BIOGRID
337396	817252	837498	2604	22739	AT2G27100	AT1G09700	SE	HYL1	SERRATE|T20P8.15|T20P8_15	DRB1|DSRNA-BINDING PROTEIN 1|F21M12.9|F21M12_9|HYPONASTIC LEAVES 1	Two-hybrid	physical	Yang L (2006)	16889646	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
337397	817252	837498	2604	22739	AT2G27100	AT1G09700	SE	HYL1	SERRATE|T20P8.15|T20P8_15	DRB1|DSRNA-BINDING PROTEIN 1|F21M12.9|F21M12_9|HYPONASTIC LEAVES 1	Affinity Capture-Western	physical	Yang L (2006)	16889646	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
831326	836092	817252	21336	2604	AT5G59710	AT2G27100	VIP2	SE	AtVIP2|MTH12.8|MTH12_8|VIRE2 interacting protein 2	SERRATE|T20P8.15|T20P8_15	PCA	physical	Wang L (2013)	23424246	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
831331	817252	836092	2604	21336	AT2G27100	AT5G59710	SE	VIP2	SERRATE|T20P8.15|T20P8_15	AtVIP2|MTH12.8|MTH12_8|VIRE2 interacting protein 2	Two-hybrid	physical	Wang L (2013)	23424246	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
831335	817252	836092	2604	21336	AT2G27100	AT5G59710	SE	VIP2	SERRATE|T20P8.15|T20P8_15	AtVIP2|MTH12.8|MTH12_8|VIRE2 interacting protein 2	Reconstituted Complex	physical	Wang L (2013)	23424246	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
885733	839574	817252	24809	2604	AT1G01040	AT2G27100	DCL1	SE	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	SERRATE|T20P8.15|T20P8_15	PCA	physical	Liu Q (2013)	23886622	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
887359	817252	839574	2604	24809	AT2G27100	AT1G01040	SE	DCL1	SERRATE|T20P8.15|T20P8_15	ABNORMAL SUSPENSOR 1|ASU1|ATDCL1|CAF|CARPEL FACTORY|DICER-LIKE 1|EMB60|EMB76|EMBRYO DEFECTIVE 60|EMBRYO DEFECTIVE 76|SHORT INTEGUMENTS 1|SIN1|SUS1|SUSPENSOR 1|T25K16.4|T25K16_4	Reconstituted Complex	physical	Iwata Y (2013)	23921632	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
