#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
303817	26528	1618	117730	107987	-	-	DAZAP1	DAZL	-	DAZH|DAZL1|DAZLA|SPGYLA	Reconstituted Complex	physical	Tsui S (2000)	10857750	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
303819	26528	1617	117730	107986	-	-	DAZAP1	DAZ1	-	DAZ|SPGY	Reconstituted Complex	physical	Tsui S (2000)	10857750	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
303821	1617	26528	107986	117730	-	-	DAZ1	DAZAP1	DAZ|SPGY	-	Two-hybrid	physical	Tsui S (2000)	10857750	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
303823	1617	26528	107986	117730	-	-	DAZ1	DAZAP1	DAZ|SPGY	-	Reconstituted Complex	physical	Tsui S (2000)	10857750	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
663219	1994	26528	108309	117730	-	-	ELAVL1	DAZAP1	ELAV1|HUR|Hua|MelG	-	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
686865	8452	26528	114030	117730	-	-	CUL3	DAZAP1	CUL-3|PHA2E	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
687428	8450	26528	114028	117730	-	-	CUL4B	DAZAP1	CUL-4B|MRXHF2|MRXS15|MRXSC|SFM2	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul4B|exogenous expression of bait	-	BIOGRID
687683	8065	26528	113743	117730	-	-	CUL5	DAZAP1	VACM-1|VACM1	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul5|exogenous expression of bait	-	BIOGRID
688052	8453	26528	114031	117730	RP11-297A16.3	-	CUL2	DAZAP1	-	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul2|exogenous expression of bait	-	BIOGRID
689141	8454	26528	114032	117730	-	-	CUL1	DAZAP1	-	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul1|exogenous expression of bait	-	BIOGRID
689409	10987	26528	116183	117730	-	-	COPS5	DAZAP1	CSN5|JAB1|MOV-34|SGN5	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged COPS5|exogenous expression of bait	-	BIOGRID
690884	55832	26528	120937	117730	-	-	CAND1	DAZAP1	TIP120|TIP120A	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged CAND1|exogenous expression of bait	-	BIOGRID
691047	4738	26528	110815	117730	-	-	NEDD8	DAZAP1	NEDD-8	-	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	#LPPI|All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|Likely protein-protein interaction|TAP-tagged NEDD8|exogenous expression of bait	-	BIOGRID
717612	672	26528	107140	117730	-	-	BRCA1	DAZAP1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	-	Affinity Capture-RNA	physical	Goina E (2008)	18391021	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
826965	2335	26528	108621	117730	-	-	FN1	DAZAP1	CIG|ED-B|FINC|FN|FNZ|GFND|GFND2|LETS|MSF	-	Affinity Capture-MS	physical	Humphries JD (2009)	19738201	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
827071	7412	26528	113255	117730	-	-	VCAM1	DAZAP1	CD106|INCAM-100	-	Affinity Capture-MS	physical	Humphries JD (2009)	19738201	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
837081	3676	26528	109883	117730	-	-	ITGA4	DAZAP1	CD49D|IA4	-	Affinity Capture-MS	physical	Byron A (2012)	22623428	9606	9606	Low Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
870591	5893	26528	111830	117730	RP11-359B12.2	-	RAD52	DAZAP1	-	-	Affinity Capture-MS	physical	Du Y (2009)	19338310	9606	9606	Low Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
919410	83737	26528	123747	117730	-	-	ITCH	DAZAP1	ADMFD|AIF4|AIP4|NAPP1|dJ468O1.1	-	Reconstituted Complex	physical	Ingham RJ (2005)	16055720	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
926997	155908	26528	1205542	117730	HIV1gp6	-	rev	DAZAP1	-	-	Reconstituted Complex	physical	Naji S (2011)	22174317	11676	9606	Low Throughput	-	-	-	-	-	BIOGRID
934102	6119	26528	112039	117730	-	-	RPA3	DAZAP1	REPA3	-	Affinity Capture-MS	physical	Marechal A (2014)	24332808	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
