#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
251228	7157	10498	113010	115760	-	-	TP53	CARM1	BCC7|LFS1|P53|TRP53	PRMT4	Reconstituted Complex	physical	An W (2004)	15186775	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263847	3276	10498	109512	115760	-	-	PRMT1	CARM1	ANM1|HCP1|HRMT1L2|IR1B4	PRMT4	Phenotypic Enhancement	genetic	Koh SS (2001)	11050077	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263855	10498	8106	115760	113777	-	-	CARM1	PABPN1	PRMT4	OPMD|PAB2|PABII|PABP-2|PABP2	Biochemical Activity	physical	Lee J (2002)	11850402	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
452502	10498	4209	115760	110373	-	RP11-98G7.2	CARM1	MEF2D	PRMT4	-	Reconstituted Complex	physical	Dacwag CS (2009)	19188441	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
452503	10498	4654	115760	110737	-	-	CARM1	MYOD1	PRMT4	MYF3|MYOD|PUM|bHLHc1	Reconstituted Complex	physical	Dacwag CS (2009)	19188441	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
452504	10498	4656	115760	110739	-	-	CARM1	MYOG	PRMT4	MYF4|bHLHc3|myf-4	Reconstituted Complex	physical	Dacwag CS (2009)	19188441	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
468293	8204	10498	113843	115760	-	-	NRIP1	CARM1	RIP140	PRMT4	Affinity Capture-Western	physical	Mostaqul Huq MD (2006)	17053781	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
470327	8202	10498	113841	115760	RP5-1049G16.3	-	NCOA3	CARM1	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	PRMT4	Co-fractionation	physical	Naeem H (2007)	17043108	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
470330	10498	8202	115760	113841	-	RP5-1049G16.3	CARM1	NCOA3	PRMT4	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	Biochemical Activity	physical	Naeem H (2007)	17043108	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
470331	10498	1387	115760	107777	-	-	CARM1	CREBBP	PRMT4	CBP|KAT3A|RSTS	Biochemical Activity	physical	Naeem H (2007)	17043108	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
470332	10498	8350	115760	113946	-	-	CARM1	HIST1H3A	PRMT4	H3/A|H3FA	Biochemical Activity	physical	Naeem H (2007)	17043108	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
470340	8202	10498	113841	115760	RP5-1049G16.3	-	NCOA3	CARM1	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	PRMT4	Co-purification	physical	Naeem H (2007)	17043108	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
470888	10498	2033	115760	108347	-	RP1-85F18.1	CARM1	EP300	PRMT4	KAT3B|RSTS2|p300	Biochemical Activity	physical	Feng Q (2006)	16923966	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
470890	10498	10499	115760	115761	-	-	CARM1	NCOA2	PRMT4	GRIP1|KAT13C|NCoA-2|SRC2|TIF2|bHLHe75	Biochemical Activity	physical	Feng Q (2006)	16923966	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
470891	10498	8202	115760	113841	-	RP5-1049G16.3	CARM1	NCOA3	PRMT4	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	Biochemical Activity	physical	Feng Q (2006)	16923966	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
470892	8202	10498	113841	115760	RP5-1049G16.3	-	NCOA3	CARM1	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	PRMT4	Affinity Capture-Western	physical	Feng Q (2006)	16923966	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
470893	10498	8202	115760	113841	-	RP5-1049G16.3	CARM1	NCOA3	PRMT4	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	Reconstituted Complex	physical	Feng Q (2006)	16923966	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
479649	5970	10498	111902	115760	-	-	RELA	CARM1	NFKB3|p65	PRMT4	Affinity Capture-Western	physical	Miao F (2006)	16497732	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
481040	10498	10847	115760	116058	-	-	CARM1	SRCAP	PRMT4	DOMO1|EAF1|FLHS|SWR1	Two-hybrid	physical	Monroy MA (2003)	14500758	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
481041	10847	10498	116058	115760	-	-	SRCAP	CARM1	DOMO1|EAF1|FLHS|SWR1	PRMT4	Reconstituted Complex	physical	Monroy MA (2003)	14500758	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
481060	1385	10498	107775	115760	-	-	CREB1	CARM1	CREB	PRMT4	Affinity Capture-Western	physical	Krones-Herzig A (2006)	16330542	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
481666	2353	10498	108636	115760	-	-	FOS	CARM1	AP-1|C-FOS|p55	PRMT4	Reconstituted Complex	physical	Fauquier L (2008)	18511550	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
481667	2353	10498	108636	115760	-	-	FOS	CARM1	AP-1|C-FOS|p55	PRMT4	Affinity Capture-Western	physical	Fauquier L (2008)	18511550	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
481668	10498	8202	115760	113841	-	RP5-1049G16.3	CARM1	NCOA3	PRMT4	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	Reconstituted Complex	physical	Fauquier L (2008)	18511550	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
481669	10498	10499	115760	115761	-	-	CARM1	NCOA2	PRMT4	GRIP1|KAT13C|NCoA-2|SRC2|TIF2|bHLHe75	Reconstituted Complex	physical	Fauquier L (2008)	18511550	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
481670	10498	8648	115760	114200	-	-	CARM1	NCOA1	PRMT4	F-SRC-1|KAT13A|RIP160|SRC1|bHLHe42|bHLHe74	Reconstituted Complex	physical	Fauquier L (2008)	18511550	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
483381	10498	8350	115760	113946	-	-	CARM1	HIST1H3A	PRMT4	H3/A|H3FA	Biochemical Activity	physical	Daujat S (2002)	12498683	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
483520	10498	1387	115760	107777	-	-	CARM1	CREBBP	PRMT4	CBP|KAT3A|RSTS	Biochemical Activity	physical	Chevillard-Briet M (2002)	12374746	9606	9606	Low Throughput	-	Methylation	-	-	-	BIOGRID
484135	2033	10498	108347	115760	RP1-85F18.1	-	EP300	CARM1	KAT3B|RSTS2|p300	PRMT4	Reconstituted Complex	physical	Lee YH (2002)	11997499	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
484138	23426	10498	116995	115760	-	-	GRIP1	CARM1	GRIP	PRMT4	Two-hybrid	physical	Lee YH (2002)	11997499	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
