#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
65373	171715	171787	37210	37273	CELE_F47G6.1	Y39G10AR.10	dyb-1	epg-2	-	CELE_Y39G10AR.10	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
67682	177046	171787	42194	37273	CELE_Y69A2AR.30	Y39G10AR.10	mdf-2	epg-2	-	CELE_Y39G10AR.10	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BIOGRID
820130	176172	171787	41376	37273	F10E9.8	Y39G10AR.10	sas-4	epg-2	CELE_F10E9.8|dcd-1	CELE_Y39G10AR.10	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
820280	173955	171787	39297	37273	CELE_F59E12.11	Y39G10AR.10	F59E12.11	epg-2	-	CELE_Y39G10AR.10	Two-hybrid	physical	Boxem M (2008)	18692475	6239	6239	High Throughput	-	-	-	Corrected dataset:  Erratum in Cell. 2012 Dec 21;151(7):1633.	-	BIOGRID
2834993	173196	171787	38591	37273	M01E5.6	Y39G10AR.10	sepa-1	epg-2	CELE_M01E5.6	CELE_Y39G10AR.10	Affinity Capture-Western	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835453	174050	171787	39390	37273	C32D5.9	Y39G10AR.10	lgg-1	epg-2	CELE_C32D5.9|atg-8.1|2G636	CELE_Y39G10AR.10	Affinity Capture-Western	physical	Wu F (2015)	26687600	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2835454	177989	171787	43089	37273	CELE_ZK593.6	Y39G10AR.10	lgg-2	epg-2	-	CELE_Y39G10AR.10	Affinity Capture-Western	physical	Wu F (2015)	26687600	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837502	173196	171787	38591	37273	M01E5.6	Y39G10AR.10	sepa-1	epg-2	CELE_M01E5.6	CELE_Y39G10AR.10	Co-localization	physical	Li S (2013)	24140420	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2837895	178867	171787	43917	37273	CELE_C18G1.4	Y39G10AR.10	pgl-3	epg-2	-	CELE_Y39G10AR.10	Co-localization	physical	Zhang G (2018)	30173914	6239	6239	Low Throughput	-	-	-	-	-	WORMBASE
2867882	178867	171787	43917	37273	CELE_C18G1.4	Y39G10AR.10	pgl-3	epg-2	-	CELE_Y39G10AR.10	Affinity Capture-MS	physical	Chen JX (2016)	26912668	6239	6239	High Throughput	-	-	-	an interaction was considered high confidence using a measure that combined fold-change of prey abundance as well as p-value of a Student's t-test for experimental versus control purifications|the bait protein was affinity purified and the prey protein was identified as an interactor by mass spectrometry (MS)|the p-value is reported here	-	BIOGRID
3387639	180510	171787	45456	37273	F52D2.4	Y39G10AR.10	meg-3	epg-2	gei-12|CELE_F52D2.4	CELE_Y39G10AR.10	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	-0.629569743	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3703022	177102	171787	42242	37273	F42A6.9	Y39G10AR.10	elks-1	epg-2	CELE_F42A6.9	CELE_Y39G10AR.10	Proximity Label-MS	physical	Artan M (2022)	35933017	6239	6239	High Throughput	-	-	-	-	-	BIOGRID

