#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
601779	79607	161742	122742	127800	-	-	FAM118B	SPRED1	-	NFLS|PPP1R147|hSpred1|spred-1	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601780	79607	80321	122742	123234	-	-	FAM118B	CEP70	-	BITE	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601781	79607	81533	122742	123507	-	CDA08	FAM118B	ITFG1	-	TIP	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601782	79607	1508	122742	107888	-	-	FAM118B	CTSB	-	APPS|CPSB	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601783	79607	51003	122742	119211	-	CGI-125	FAM118B	MED31	-	3110004H13Rik|Soh1	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601784	79607	7431	122742	113272	-	RP11-124N14.1	FAM118B	VIM	-	CTRCT30|HEL113	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601785	79607	57562	122742	121617	-	-	FAM118B	KIAA1377	-	-	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601786	79607	7114	122742	112969	-	-	FAM118B	TMSB4X	-	FX|PTMB4|TB4X|TMSB4	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601787	79607	2783	122742	109045	-	-	FAM118B	GNB2	-	-	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601788	79607	8888	122742	114406	-	-	FAM118B	MCM3AP	-	GANP|MAP80|SAC3	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601789	79607	6464	122742	112361	-	RP11-307C12.1	FAM118B	SHC1	-	SHC|SHCA	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601790	79607	56975	122742	121294	-	-	FAM118B	FAM20C	-	DMP-4|DMP4|GEF-CK|RNS	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601791	79607	84289	122742	124016	-	-	FAM118B	ING5	-	p28ING5	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601792	79607	5859	122742	111797	-	-	FAM118B	QARS	-	GLNRS|MSCCA|PRO2195	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601793	79607	155061	122742	127574	-	-	FAM118B	ZNF746	-	PARIS	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601794	79607	54437	122742	119953	-	UNQ5867/PRO34001	FAM118B	SEMA5B	-	SEMAG|SemG	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601795	79607	84060	122742	123855	-	-	FAM118B	RBM48	-	C7orf64|DKFZP564O0523|HSPC304	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601796	79607	25791	122742	117324	-	-	FAM118B	NGEF	-	ARHGEF27|EPHEXIN	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601797	79607	9869	122742	115202	-	RP11-316M1.1	FAM118B	SETDB1	-	ESET|H3-K9-HMTase4|KG1T|KMT1E|TDRD21	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
601798	79607	9310	122742	114722	-	-	FAM118B	ZNF235	-	ANF270|HZF6|ZFP93|ZNF270	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1042011	6386	79607	112287	122742	-	-	SDCBP	FAM118B	MDA-9|MDA9|ST1|SYCL|TACIP18	-	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
