#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
241505	8607	10856	114166	116067	-	CGI-46	RUVBL1	RUVBL2	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	ECP51|INO80J|REPTIN|RVB2|TIH2|TIP48|TIP49B	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.597	-	-	Exogenous expression of bait	-	BIOGRID
241563	8607	80304	114166	123217	-	PP384	RUVBL1	C2orf44	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	-	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.547	-	-	Exogenous expression of bait	-	BIOGRID
241653	2222	8607	108516	114166	-	-	FDFT1	RUVBL1	DGPT|ERG9|SQS|SS	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.494	-	-	Exogenous expression of bait	-	BIOGRID
241774	1777	8607	108116	114166	-	-	DNASE2	RUVBL1	DNASE2A|DNL|DNL2	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.447	-	-	Exogenous expression of bait	-	BIOGRID
241969	53918	8607	119818	114166	CGI-17	-	PELO	RUVBL1	PRO1770	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.41	-	-	Exogenous expression of bait	-	BIOGRID
241970	9051	8607	114513	114166	-	-	PSTPIP1	RUVBL1	CD2BP1|CD2BP1L|CD2BP1S|H-PIP|PAPAS|PSTPIP	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.41	-	-	Exogenous expression of bait	-	BIOGRID
241995	8607	2222	114166	108516	-	-	RUVBL1	FDFT1	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	DGPT|ERG9|SQS|SS	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.406	-	-	Exogenous expression of bait	-	BIOGRID
242271	10856	8607	116067	114166	CGI-46	-	RUVBL2	RUVBL1	ECP51|INO80J|REPTIN|RVB2|TIH2|TIP48|TIP49B	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.377	-	-	Exogenous expression of bait	-	BIOGRID
242410	8607	144455	114166	126855	-	-	RUVBL1	E2F7	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	-	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.367	-	-	Exogenous expression of bait	-	BIOGRID
242897	3106	8607	109351	114166	CDABP0067	-	HLA-B	RUVBL1	AS|HLAB|SPDA1	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.331	-	-	Exogenous expression of bait	-	BIOGRID
242966	2778	8607	109040	114166	RP4-543J19.4	-	GNAS	RUVBL1	AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|PHP1A|PHP1B|PHP1C|POH	ECP54|INO80H|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.327	-	-	Exogenous expression of bait	-	BIOGRID
