#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
438267	7157	9271	113010	114690	-	-	TP53	PIWIL1	BCC7|LFS1|P53|TRP53	CT80.1|HIWI|MIWI|PIWI	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
438293	8626	9271	114181	114690	-	-	TP63	PIWIL1	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	CT80.1|HIWI|MIWI|PIWI	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
438324	7161	9271	113014	114690	-	-	TP73	PIWIL1	P73	CT80.1|HIWI|MIWI|PIWI	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
607035	9271	23405	114690	116978	-	-	PIWIL1	DICER1	CT80.1|HIWI|MIWI|PIWI	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	Affinity Capture-Western	physical	Tahbaz N (2004)	14749716	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
607039	23405	9271	116978	114690	-	-	DICER1	PIWIL1	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	CT80.1|HIWI|MIWI|PIWI	Reconstituted Complex	physical	Tahbaz N (2004)	14749716	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
607051	23405	9271	116978	114690	-	-	DICER1	PIWIL1	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	CT80.1|HIWI|MIWI|PIWI	Two-hybrid	physical	Tahbaz N (2004)	14749716	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1512274	9271	3925	114690	110119	-	RP1-125I3.5	PIWIL1	STMN1	CT80.1|HIWI|MIWI|PIWI	C1orf215|LAP18|Lag|OP18|PP17|PP19|PR22|SMN	Two-hybrid	physical	Li C (2015)	26317901	9606	9606	Low Throughput	-	-	-	bacterial two-hybrid	-	BIOGRID
1512275	9271	3925	114690	110119	-	RP1-125I3.5	PIWIL1	STMN1	CT80.1|HIWI|MIWI|PIWI	C1orf215|LAP18|Lag|OP18|PP17|PP19|PR22|SMN	Reconstituted Complex	physical	Li C (2015)	26317901	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1512276	9271	3925	114690	110119	-	RP1-125I3.5	PIWIL1	STMN1	CT80.1|HIWI|MIWI|PIWI	C1orf215|LAP18|Lag|OP18|PP17|PP19|PR22|SMN	Affinity Capture-Western	physical	Li C (2015)	26317901	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1512277	3925	9271	110119	114690	RP1-125I3.5	-	STMN1	PIWIL1	C1orf215|LAP18|Lag|OP18|PP17|PP19|PR22|SMN	CT80.1|HIWI|MIWI|PIWI	Affinity Capture-Western	physical	Li C (2015)	26317901	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
