#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
253324	9924	255967	115252	129129	-	RP11-179F17.3	PAN2	PAN3	USP52	-	Affinity Capture-Western	physical	Uchida N (2004)	14583602	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
266508	255967	26986	129129	117939	RP11-179F17.3	-	PAN3	PABPC1	-	PAB1|PABP|PABP1|PABPC2|PABPL1	Affinity Capture-Western	physical	Funakoshi Y (2007)	18056425	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
266509	26986	255967	117939	129129	-	RP11-179F17.3	PABPC1	PAN3	PAB1|PABP|PABP1|PABPC2|PABPL1	-	Affinity Capture-Western	physical	Funakoshi Y (2007)	18056425	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
266518	255967	26986	129129	117939	RP11-179F17.3	-	PAN3	PABPC1	-	PAB1|PABP|PABP1|PABPC2|PABPL1	Reconstituted Complex	physical	Funakoshi Y (2007)	18056425	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
424440	9924	255967	115252	129129	-	RP11-179F17.3	PAN2	PAN3	USP52	-	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	22.89	-	-	exogenous expression of bait	-	BIOGRID
604569	6840	255967	112707	129129	RP11-534G20.1	RP11-179F17.3	SVIL	PAN3	-	-	Two-hybrid	physical	Smith TC (2010)	20309963	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
663351	1994	255967	108309	129129	-	RP11-179F17.3	ELAVL1	PAN3	ELAV1|HUR|Hua|MelG	-	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
697733	26986	255967	117939	129129	-	RP11-179F17.3	PABPC1	PAN3	PAB1|PABP|PABP1|PABPC2|PABPL1	-	Reconstituted Complex	physical	Ezzeddine N (2007)	17785442	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
859502	9924	255967	115252	129129	-	RP11-179F17.3	PAN2	PAN3	USP52	-	Affinity Capture-MS	physical	Bett JS (2013)	23398456	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
948149	9924	255967	115252	129129	-	RP11-179F17.3	PAN2	PAN3	USP52	-	Affinity Capture-Western	physical	Jonas S (2014)	24880343	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
