#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
269982	27067	57562	117978	121617	-	-	STAU2	KIAA1377	39K2|39K3	-	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
504232	155871	27067	1205541	117978	HIV1gp5	-	tat	STAU2	-	39K2|39K3	Reconstituted Complex	physical	Gautier VW (2009)	19454010	11676	9606	High Throughput	-	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.	-	BIOGRID
594064	79132	27067	122553	117978	-	-	DHX58	STAU2	D11LGP2|D11lgp2e|LGP2|RLR-3	39K2|39K3	Affinity Capture-MS	physical	Li S (2011)	21903422	9606	9606	High Throughput	-	-	-	exogenous expression of bait|some interactions identified in this screen were stimulated by the addition of poly(rI:rC), poly(dA:dT), LPS, and/or CpG	-	BIOGRID
594147	5610	27067	111596	117978	-	-	EIF2AK2	STAU2	EIF2AK1|PKR|PPP1R83|PRKR	39K2|39K3	Affinity Capture-MS	physical	Li S (2011)	21903422	9606	9606	High Throughput	-	-	-	exogenous expression of bait|some interactions identified in this screen were stimulated by the addition of poly(rI:rC), poly(dA:dT), LPS, and/or CpG	-	BIOGRID
594528	79132	27067	122553	117978	-	-	DHX58	STAU2	D11LGP2|D11lgp2e|LGP2|RLR-3	39K2|39K3	Reconstituted Complex	physical	Li S (2011)	21903422	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
594556	5610	27067	111596	117978	-	-	EIF2AK2	STAU2	EIF2AK1|PKR|PPP1R83|PRKR	39K2|39K3	Reconstituted Complex	physical	Li S (2011)	21903422	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
663370	1994	27067	108309	117978	-	-	ELAVL1	STAU2	ELAV1|HUR|Hua|MelG	39K2|39K3	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	19322201	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
689882	10987	27067	116183	117978	-	-	COPS5	STAU2	CSN5|JAB1|MOV-34|SGN5	39K2|39K3	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged COPS5|exogenous expression of bait	-	BIOGRID
941667	23405	27067	116978	117978	-	-	DICER1	STAU2	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	39K2|39K3	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941946	8575	27067	114143	117978	HSD14	-	PRKRA	STAU2	DYT16|PACT|RAX	39K2|39K3	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941971	27067	23405	117978	116978	-	-	STAU2	DICER1	39K2|39K3	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941972	27067	8575	117978	114143	-	HSD14	STAU2	PRKRA	39K2|39K3	DYT16|PACT|RAX	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941973	27067	5976	117978	111908	-	-	STAU2	UPF1	39K2|39K3	HUPF1|NORF1|RENT1|pNORF1|smg-2	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
941974	27067	5610	117978	111596	-	-	STAU2	EIF2AK2	39K2|39K3	EIF2AK1|PKR|PPP1R83|PRKR	Affinity Capture-MS	physical	Li S (2014)	24778252	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
