#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
120740	6696	56259	112574	121123	PSEC0156	RP5-1118M15.1	SPP1	CTNNBL1	BNSP|BSPI|ETA-1|OPN	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
517557	56259	988	121123	107424	RP5-1118M15.1	RP1-319D22.1	CTNNBL1	CDC5L	C20orf33|NAP|P14L|PP8304|dJ633O20.1	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517558	56259	27339	121123	118151	RP5-1118M15.1	-	CTNNBL1	PRPF19	C20orf33|NAP|P14L|PP8304|dJ633O20.1	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517559	56259	3308	121123	109540	RP5-1118M15.1	-	CTNNBL1	HSPA4	C20orf33|NAP|P14L|PP8304|dJ633O20.1	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517560	56259	26121	121123	117563	RP5-1118M15.1	-	CTNNBL1	PRPF31	C20orf33|NAP|P14L|PP8304|dJ633O20.1	NY-BR-99|PRP31|RP11|SNRNP61	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517561	56259	3838	121123	110036	RP5-1118M15.1	-	CTNNBL1	KPNA2	C20orf33|NAP|P14L|PP8304|dJ633O20.1	IPOA1|QIP2|RCH1|SRP1alpha	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517562	56259	27339	121123	118151	RP5-1118M15.1	-	CTNNBL1	PRPF19	C20orf33|NAP|P14L|PP8304|dJ633O20.1	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517563	56259	9188	121123	114625	RP5-1118M15.1	-	CTNNBL1	DDX21	C20orf33|NAP|P14L|PP8304|dJ633O20.1	GUA|GURDB|RH-II/GU|RH-II/GuA	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517564	56259	5356	121123	111370	RP5-1118M15.1	-	CTNNBL1	PLRG1	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Cwc1|PRL1|PRP46|PRPF46|TANGO4	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517565	56259	10419	121123	115688	RP5-1118M15.1	-	CTNNBL1	PRMT5	C20orf33|NAP|P14L|PP8304|dJ633O20.1	HRMT1L5|IBP72|JBP1|SKB1|SKB1Hs	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517566	56259	58	121123	106573	RP5-1118M15.1	RP5-1068B5.2	CTNNBL1	ACTA1	C20orf33|NAP|P14L|PP8304|dJ633O20.1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517567	56259	988	121123	107424	RP5-1118M15.1	RP1-319D22.1	CTNNBL1	CDC5L	C20orf33|NAP|P14L|PP8304|dJ633O20.1	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517568	56259	4869	121123	110929	RP5-1118M15.1	-	CTNNBL1	NPM1	C20orf33|NAP|P14L|PP8304|dJ633O20.1	B23|NPM	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517569	56259	9584	121123	114952	RP5-1118M15.1	RP11-353C18.2	CTNNBL1	RBM39	C20orf33|NAP|P14L|PP8304|dJ633O20.1	CAPER|CAPERalpha|FSAP59|HCC1|RNPC2	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517570	56259	6772	121123	112649	RP5-1118M15.1	-	CTNNBL1	STAT1	C20orf33|NAP|P14L|PP8304|dJ633O20.1	CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517571	56259	79084	121123	122532	RP5-1118M15.1	HKMT1069	CTNNBL1	WDR77	C20orf33|NAP|P14L|PP8304|dJ633O20.1	MEP-50|MEP50|Nbla10071|p44|p44/Mep50	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517572	56259	121504	121123	125732	RP5-1118M15.1	-	CTNNBL1	HIST4H4	C20orf33|NAP|P14L|PP8304|dJ633O20.1	H4/p	Affinity Capture-MS	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517573	988	56259	107424	121123	RP1-319D22.1	RP5-1118M15.1	CDC5L	CTNNBL1	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517574	26121	56259	117563	121123	-	RP5-1118M15.1	PRPF31	CTNNBL1	NY-BR-99|PRP31|RP11|SNRNP61	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517582	57379	56259	121497	121123	-	RP5-1118M15.1	AICDA	CTNNBL1	AID|ARP2|CDA2|HEL-S-284|HIGM2	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517583	3836	56259	110034	121123	-	RP5-1118M15.1	KPNA1	CTNNBL1	IPOA5|NPI-1|RCH2|SRP1	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517584	3838	56259	110036	121123	-	RP5-1118M15.1	KPNA2	CTNNBL1	IPOA1|QIP2|RCH1|SRP1alpha	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517585	56259	3836	121123	110034	RP5-1118M15.1	-	CTNNBL1	KPNA1	C20orf33|NAP|P14L|PP8304|dJ633O20.1	IPOA5|NPI-1|RCH2|SRP1	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
517586	56259	3838	121123	110036	RP5-1118M15.1	-	CTNNBL1	KPNA2	C20orf33|NAP|P14L|PP8304|dJ633O20.1	IPOA1|QIP2|RCH1|SRP1alpha	Affinity Capture-Western	physical	Ganesh K (2011)	21385873	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
577813	71702	56259	214866	121123	-	RP5-1118M15.1	Cdc5l	CTNNBL1	1200002I02Rik|AA408004|PCDC5RP	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Affinity Capture-MS	physical	Hutchins JR (2010)	20360068	10090	9606	High Throughput	-	-	-	-	-	BIOGRID
665362	8175	56259	113826	121123	-	RP5-1118M15.1	SF3A2	CTNNBL1	PRP11|PRPF11|SAP62|SF3a66	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Affinity Capture-MS	physical	Behzadnia N (2007)	17332742	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
715076	10617	56259	115863	121123	-	RP5-1118M15.1	STAMBP	CTNNBL1	AMSH|MICCAP	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Two-hybrid	physical	Tsang HT (2006)	16730941	9606	9606	High Throughput	-	-	-	table 1.	-	BIOGRID
720009	10286	56259	115575	121123	-	RP5-1118M15.1	BCAS2	CTNNBL1	DAM1|SPF27|Snt309	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Co-fractionation	physical	Grote M (2010)	20176811	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
720015	51503	56259	119575	121123	AD-002	RP5-1118M15.1	CWC15	CTNNBL1	AD002|C11orf5|Cwf15|HSPC148|ORF5	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Co-fractionation	physical	Grote M (2010)	20176811	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
720021	51503	56259	119575	121123	AD-002	RP5-1118M15.1	CWC15	CTNNBL1	AD002|C11orf5|Cwf15|HSPC148|ORF5	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Co-purification	physical	Grote M (2010)	20176811	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
720024	51503	56259	119575	121123	AD-002	RP5-1118M15.1	CWC15	CTNNBL1	AD002|C11orf5|Cwf15|HSPC148|ORF5	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Affinity Capture-Western	physical	Grote M (2010)	20176811	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
720032	56259	51503	121123	119575	RP5-1118M15.1	AD-002	CTNNBL1	CWC15	C20orf33|NAP|P14L|PP8304|dJ633O20.1	AD002|C11orf5|Cwf15|HSPC148|ORF5	Far Western	physical	Grote M (2010)	20176811	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
720033	56259	988	121123	107424	RP5-1118M15.1	RP1-319D22.1	CTNNBL1	CDC5L	C20orf33|NAP|P14L|PP8304|dJ633O20.1	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	Far Western	physical	Grote M (2010)	20176811	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
720036	51503	56259	119575	121123	AD-002	RP5-1118M15.1	CWC15	CTNNBL1	AD002|C11orf5|Cwf15|HSPC148|ORF5	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Reconstituted Complex	physical	Grote M (2010)	20176811	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
817210	7415	56259	113258	121123	-	RP5-1118M15.1	VCP	CTNNBL1	ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Affinity Capture-MS	physical	Yu CC (2013)	23383273	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
827560	23350	56259	116932	121123	-	RP5-1118M15.1	U2SURP	CTNNBL1	SR140|fSAPa	C20orf33|NAP|P14L|PP8304|dJ633O20.1	Two-hybrid	physical	Hegele A (2012)	22365833	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
