#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
241696	7532	9414	113364	114809	-	RP11-16N10.1	YWHAG	TJP2	14-3-3GAMMA|PPP1R170	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.473	-	-	Exogenous expression of bait	-	BIOGRID
241947	10971	9414	116168	114809	-	RP11-16N10.1	YWHAQ	TJP2	14-3-3|1C5|HS1	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.413	-	-	Exogenous expression of bait	-	BIOGRID
241974	7529	9414	113361	114809	RP1-148E22.1	RP11-16N10.1	YWHAB	TJP2	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.41	-	-	Exogenous expression of bait	-	BIOGRID
242352	7534	9414	113366	114809	-	RP11-16N10.1	YWHAZ	TJP2	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.371	-	-	Exogenous expression of bait	-	BIOGRID
243112	7189	9414	113041	114809	-	RP11-16N10.1	TRAF6	TJP2	MGC:3310|RNF85	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	Affinity Capture-MS	physical	Ewing RM (2007)	17353931	9606	9606	High Throughput	0.315	-	-	Exogenous expression of bait	-	BIOGRID
244975	2810	9414	109072	114809	-	RP11-16N10.1	SFN	TJP2	YWHAS	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	Affinity Capture-MS	physical	Benzinger A (2005)	15778465	9606	9606	Low Throughput	-	-	-	Tandem affinity purification (TAP) and the multidimensional protein identification technology (MudPIT)	-	BIOGRID
253787	9414	100506658	114809	111004	RP11-16N10.1	hCG_1988850	TJP2	OCLN	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	BLCPMG|PPP1R115	Reconstituted Complex	physical	Peng BH (2003)	14512431	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253788	100506658	9414	111004	114809	hCG_1988850	RP11-16N10.1	OCLN	TJP2	BLCPMG|PPP1R115	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	Affinity Capture-Western	physical	Peng BH (2003)	14512431	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256472	30011	9414	119029	114809	RP11-345L8.1	RP11-16N10.1	SH3KBP1	TJP2	CD2BP3|CIN85|GIG10|HSB-1|HSB1|MIG18	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	Affinity Capture-Western	physical	Kurakin AV (2003)	12829691	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278164	398149	9414	99484	114809	-	RP11-16N10.1	cgn	TJP2	-	C9DUPq21.11|DFNA51|DUP9q21.11|PFIC4|X104|ZO2	Reconstituted Complex	physical	Cordenonsi M (1999)	10613913	8355	9606	Low Throughput	-	-	-	-	-	BIOGRID
