#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
262758	10432	2033	115700	108347	-	RP1-85F18.1	RBM14	EP300	COAA|PSP2|SIP|SYTIP1|TMEM137	KAT3B|RSTS2|p300	Reconstituted Complex	physical	Iwasaki T (2001)	11443112	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262759	10432	7520	115700	113353	-	-	RBM14	XRCC5	COAA|PSP2|SIP|SYTIP1|TMEM137	KARP-1|KARP1|KU80|KUB2|Ku86|NFIV	Affinity Capture-Western	physical	Iwasaki T (2001)	11443112	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262760	10432	142	115700	106652	-	RP11-125A15.2	RBM14	PARP1	COAA|PSP2|SIP|SYTIP1|TMEM137	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	Affinity Capture-Western	physical	Iwasaki T (2001)	11443112	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
468773	2908	10432	109165	115700	-	-	NR3C1	RBM14	GCCR|GCR|GCRST|GR|GRL	COAA|PSP2|SIP|SYTIP1|TMEM137	Two-hybrid	physical	Ravasi T (2010)	20211142	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
503220	10432	6857	115700	112723	-	-	RBM14	SYT1	COAA|PSP2|SIP|SYTIP1|TMEM137	P65|SVP65|SYT	Reconstituted Complex	physical	Iwasaki T (2005)	15919756	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
503221	6857	10432	112723	115700	-	-	SYT1	RBM14	P65|SVP65|SYT	COAA|PSP2|SIP|SYTIP1|TMEM137	Reconstituted Complex	physical	Iwasaki T (2005)	15919756	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
504251	155871	10432	1205541	115700	HIV1gp5	-	tat	RBM14	-	COAA|PSP2|SIP|SYTIP1|TMEM137	Reconstituted Complex	physical	Gautier VW (2009)	19454010	11676	9606	High Throughput	-	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.	-	BIOGRID
555485	6871	10432	112734	115700	KL04P	-	TADA2A	RBM14	ADA2|ADA2A|TADA2L|hADA2	COAA|PSP2|SIP|SYTIP1|TMEM137	Affinity Capture-MS	physical	Krebs AR (2010)	20508642	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
556478	25913	10432	117417	115700	-	-	POT1	RBM14	CMM10|HPOT1	COAA|PSP2|SIP|SYTIP1|TMEM137	Affinity Capture-MS	physical	Giannone RJ (2010)	20811636	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
570422	10014	10432	115331	115700	-	-	HDAC5	RBM14	HD5|NY-CO-9	COAA|PSP2|SIP|SYTIP1|TMEM137	Affinity Capture-MS	physical	Greco TM (2011)	21081666	9606	9606	Low Throughput	-	-	-	Exogenous expression of bait	-	BIOGRID
