#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
255757	23405	192670	116978	128178	-	-	DICER1	AGO4	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	EIF2C4	Affinity Capture-Western	physical	Sasaki T (2003)	12906857	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566896	192670	10419	128178	115688	-	-	AGO4	PRMT5	EIF2C4	HRMT1L5|IBP72|JBP1|SKB1|SKB1Hs	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566897	192670	23112	128178	116735	-	RP5-1042K10.7	AGO4	TNRC6B	EIF2C4	-	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566898	192670	27327	128178	118141	-	-	AGO4	TNRC6A	EIF2C4	CAGH26|GW1|GW182|TNRC6	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566899	192670	1975	128178	108291	-	-	AGO4	EIF4B	EIF2C4	EIF-4B|PRO1843	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566900	192670	360227	128178	409828	-	-	AGO4	OTUD4P1	EIF2C4	HIN1L	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566901	192670	192669	128178	128177	-	RP4-789D17.2	AGO4	AGO3	EIF2C4	EIF2C3	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566902	192670	3716	128178	109919	-	-	AGO4	JAK1	EIF2C4	JAK1A|JAK1B|JTK3	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566903	192670	10526	128178	115781	-	-	AGO4	IPO8	EIF2C4	RANBP8	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566904	192670	27161	128178	118041	-	-	AGO4	AGO2	EIF2C4	EIF2C2|Q10	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566905	192670	3326	128178	109558	-	RP1-302G2.1	AGO4	HSP90AB1	EIF2C4	D6S182|HSP84|HSP90B|HSPC2|HSPCB	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566906	192670	3320	128178	109552	-	-	AGO4	HSP90AA1	EIF2C4	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566907	192670	3312	128178	109544	-	-	AGO4	HSPA8	EIF2C4	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566908	192670	8761	128178	114296	-	-	AGO4	PABPC4	EIF2C4	APP-1|APP1|PABP4|iPABP	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566909	192670	3309	128178	109541	-	-	AGO4	HSPA5	EIF2C4	BIP|GRP78|HEL-S-89n|MIF2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566910	192670	3303	128178	109535	-	DAQB-147D11.1	AGO4	HSPA1A	EIF2C4	HEL-S-103|HSP70-1|HSP70-1A|HSP70I|HSP72|HSPA1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566911	192670	10165	128178	115467	-	-	AGO4	SLC25A13	EIF2C4	ARALAR2|CITRIN|CTLN2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566912	192670	10642	128178	115886	-	-	AGO4	IGF2BP1	EIF2C4	CRD-BP|CRDBP|IMP-1|IMP1|VICKZ1|ZBP1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566913	192670	22948	128178	116603	-	-	AGO4	CCT5	EIF2C4	CCT-epsilon|CCTE|HEL-S-69|TCP-1-epsilon	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566914	192670	10383	128178	115656	-	RP13-122B23.2	AGO4	TUBB4B	EIF2C4	Beta2|TUBB2|TUBB2C	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566915	192670	203068	128178	128444	-	DAAP-285E11.4	AGO4	TUBB	EIF2C4	CDCBM6|M40|OK/SW-cl.56|TUBB1|TUBB5	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566916	192670	4904	128178	110959	-	-	AGO4	YBX1	EIF2C4	BP-8|CSDA2|CSDB|DBPB|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566917	192670	10294	128178	115582	-	-	AGO4	DNAJA2	EIF2C4	CPR3|DJ3|DJA2|DNAJ|DNJ3|HIRIP4|PRO3015|RDJ2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566918	192670	6737	128178	112615	-	-	AGO4	TRIM21	EIF2C4	RNF81|RO52|Ro/SSA|SSA|SSA1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566919	192670	55750	128178	120868	-	-	AGO4	AGK	EIF2C4	CATC5|CTRCT38|MTDPS10|MULK	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566920	192670	1629	128178	107997	-	RP11-305E17.3	AGO4	DBT	EIF2C4	BCATE2|BCKAD-E2|BCKADE2|E2|E2B	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566921	192670	1937	128178	108257	-	PRO1608	AGO4	EEF1G	EIF2C4	EF1G|GIG35	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566922	192670	3301	128178	109534	-	RP11-54K16.1	AGO4	DNAJA1	EIF2C4	DJ-2|DjA1|HDJ2|HSDJ|HSJ2|HSPF4|NEDD7|hDJ-2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566923	192670	60	128178	106575	-	-	AGO4	ACTB	EIF2C4	BRWS1|PS1TP5BP1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566924	192670	7284	128178	113135	-	-	AGO4	TUFM	EIF2C4	COXPD4|EF-TuMT|EFTU|P43	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566925	192670	79084	128178	122532	-	HKMT1069	AGO4	WDR77	EIF2C4	MEP-50|MEP50|Nbla10071|p44|p44/Mep50	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566926	192670	8803	128178	114331	-	RP11-528D24.2	AGO4	SUCLA2	EIF2C4	A-BETA|MTDPS5|SCS-betaA	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566927	192670	51726	128178	119699	-	PSEC0121	AGO4	DNAJB11	EIF2C4	ABBP-2|ABBP2|DJ9|Dj-9|EDJ|ERdj3|ERj3|ERj3p|PRO1080|UNQ537	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566928	192670	2584	128178	108857	-	-	AGO4	GALK1	EIF2C4	GALK|GK1|HEL-S-19	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566929	192670	3183	128178	109424	-	-	AGO4	HNRNPC	EIF2C4	C1|C2|HNRNP|HNRPC|SNRPC	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566930	192670	2010	128178	108325	-	XX-FW88778H2.1	AGO4	EMD	EIF2C4	EDMD|LEMD5|STA	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566931	192670	5250	128178	111269	-	OK/SW-cl.48	AGO4	SLC25A3	EIF2C4	PHC|PTP	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566932	192670	192111	128178	128154	-	-	AGO4	PGAM5	EIF2C4	BXLBV68	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566933	192670	79751	128178	122862	-	-	AGO4	SLC25A22	EIF2C4	EIEE3|GC1|NET44	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566934	192670	509	128178	106997	-	RP11-401E9.1	AGO4	ATP5C1	EIF2C4	ATP5C|ATP5CL1	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566935	192670	292	128178	106789	-	-	AGO4	SLC25A5	EIF2C4	2F1|AAC2|ANT2|T2|T3	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566936	192670	6576	128178	112464	-	-	AGO4	SLC25A1	EIF2C4	CTP|D2L2AD|SEA|SLC20A3	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566937	192670	1468	128178	107850	-	-	AGO4	SLC25A10	EIF2C4	DIC	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566938	192670	10728	128178	115952	-	-	AGO4	PTGES3	EIF2C4	P23|TEBP|cPGES	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566939	192670	5052	128178	111089	-	RP11-291L19.4	AGO4	PRDX1	EIF2C4	MSP23|NKEF-A|NKEFA|PAG|PAGA|PAGB|PRX1|PRXI|TDPX2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566940	192670	378	128178	106873	-	-	AGO4	ARF4	EIF2C4	ARF2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566941	192670	6203	128178	112117	-	XXbac-BCX105G6.6	AGO4	RPS9	EIF2C4	S9	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566942	192670	6193	128178	112107	-	-	AGO4	RPS5	EIF2C4	S5	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566943	192670	93144	128178	125006	-	-	AGO4	RPS10P5	EIF2C4	RPS10L|RPS10_13_1677|bA371L19.2	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566944	192670	6222	128178	112136	-	DADB-159G18.1	AGO4	RPS18	EIF2C4	D6S218E|HKE3|KE-3|KE3|S18	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566945	192670	6231	128178	112145	-	RP11-151A6.3	AGO4	RPS26	EIF2C4	DBA10|S26	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566946	192670	390937	128178	133742	-	-	AGO4	LOC390937	EIF2C4	-	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566947	192670	729727	128178	610124	-	DAQB-126H3.6	AGO4	RPL12P1	EIF2C4	CICK0721Q.1|RPL12-L|RPL12_5_682|dJ570F3.5	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566948	192670	6152	128178	112071	-	-	AGO4	RPL24	EIF2C4	HEL-S-310|L24	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566949	192670	6135	128178	112055	-	RP11-223J15.3	AGO4	RPL11	EIF2C4	DBA7|GIG34|L11	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566950	192670	6157	128178	112076	-	-	AGO4	RPL27A	EIF2C4	L27A	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566951	192670	6155	128178	112074	-	-	AGO4	RPL27	EIF2C4	L27	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566952	192670	11224	128178	116392	-	RP11-175D17.6	AGO4	RPL35	EIF2C4	L35	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
566953	192670	9349	128178	114752	-	-	AGO4	RPL23	EIF2C4	L23|rpL17	Affinity Capture-MS	physical	Weinmann L (2009)	19167051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
