#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1430247	8481	100532731	114055	1529410	-	-	OFD1	COMMD3-BMI1	71-7A|CXorf5|JBTS10|RP23|SGBS2	-	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1431951	145508	100532731	126920	1529410	-	-	CEP128	COMMD3-BMI1	C14orf145|C14orf61|LEDP/132	-	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1432178	9662	100532731	115018	1529410	-	-	CEP135	COMMD3-BMI1	CEP4|KIAA0635|MCPH8	-	Proximity Label-MS	physical	Gupta GD (2015)	26638075	9606	9606	High Throughput	-	-	-	BioID	-	BIOGRID
1519899	79923	100532731	123000	1529410	-	-	NANOG	COMMD3-BMI1	-	-	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2223807	1911	100532731	108233	1529410	-	-	PHC1	COMMD3-BMI1	EDR1|HPH1|MCPH11|RAE28	-	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999982554	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999982554, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2462006	8535	100532731	114105	1529410	-	-	CBX4	COMMD3-BMI1	NBP16|PC2	-	Affinity Capture-MS	physical	Hauri S (2016)	27705803	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2462057	23466	100532731	117028	1529410	RP3-327J16.5	-	CBX6	COMMD3-BMI1	-	-	Affinity Capture-MS	physical	Hauri S (2016)	27705803	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2462071	23492	100532731	117044	1529410	RP4-742C19.7	-	CBX7	COMMD3-BMI1	-	-	Affinity Capture-MS	physical	Hauri S (2016)	27705803	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2462088	57332	100532731	121487	1529410	-	-	CBX8	COMMD3-BMI1	PC3|RC1	-	Affinity Capture-MS	physical	Hauri S (2016)	27705803	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2462768	10138	100532731	115441	1529410	-	-	YAF2	COMMD3-BMI1	-	-	Affinity Capture-MS	physical	Hauri S (2016)	27705803	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
