#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
557847	831899	844262	17175	29481	AT5G03240	AT1G79210	UBQ3	AT1G79210	F15A17.270|F15A17_270|POLYUBIQUITIN 3 PROTEIN|polyubiquitin 3	YUP8H12R.19|YUP8H12R_19	Affinity Capture-MS	physical	Igawa T (2009)	19429840	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
1238293	829025	844262	14312	29481	AT4G29040	AT1G79210	RPT2a	AT1G79210	26S PROTEASOME AAA-ATPASE SUBUNIT RPT2A|F19B15.70|F19B15_70|regulatory particle AAA-ATPase 2A	YUP8H12R.19|YUP8H12R_19	Affinity Capture-MS	physical	Sako K (2014)	24846764	3702	3702	Low Throughput	-	-	-	-	-	BIOGRID
2910769	844262	6240623	29481	926663	AT1G79210	AT3G27415	AT1G79210	AT3G27415	YUP8H12R.19|YUP8H12R_19	-	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.993809524	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DUP7, Annotation: Proteasome component (By similarity)	-	BIOGRID
2910770	844262	834056	29481	19307	AT1G79210	AT5G40580	AT1G79210	PBB2	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME BETA SUBUNIT PBB2|MNF13.100|MNF13_100	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.993809524	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DUP7, Annotation: Proteasome component (By similarity)	-	BIOGRID
2910771	844262	822364	29481	7694	AT1G79210	AT3G27430	AT1G79210	PBB1	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME BETA SUBUNIT PBB1	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.993809524	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DUP7, Annotation: Proteasome component (By similarity)	-	BIOGRID
2910786	842098	844262	27323	29481	AT1G56450	AT1G79210	PBG1	AT1G79210	20S proteasome beta subunit G1|F13N6.3|F13N6_3|PROTEASOME BETA SUBUNIT PBG1	YUP8H12R.19|YUP8H12R_19	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.993344156	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DS8A, Annotation: Proteasome component (By similarity)|Interactor B: Orthogroup ENOG411DTN4, Annotation: Proteasome component	-	BIOGRID
2910931	844262	817244	29481	2596	AT1G79210	AT2G27020	AT1G79210	PAG1	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME SUBUNIT PAG1|20S proteasome alpha subunit G1|T20P8.7|T20P8_7	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.986185065	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DYMK, Annotation: Proteasome component (By similarity)	-	BIOGRID
2910945	815135	844262	534	29481	AT2G05840	AT1G79210	PAA2	AT1G79210	20S proteasome subunit PAA2|T6P5.4|T6P5_4	YUP8H12R.19|YUP8H12R_19	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.985227411	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DSW1, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DTN4, Annotation: Proteasome component	-	BIOGRID
2910947	833524	844262	18777	29481	AT5G35590	AT1G79210	PAA1	AT1G79210	20S PROTEASOME SUBUNIT PAA1|K2K18.4|K2K18_4|proteasome alpha subunit A1	YUP8H12R.19|YUP8H12R_19	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.985227411	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DSW1, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DTN4, Annotation: Proteasome component	-	BIOGRID
2910966	824289	844262	9607	29481	AT3G51260	AT1G79210	PAD1	AT1G79210	20S proteasome alpha subunit PAD1	YUP8H12R.19|YUP8H12R_19	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.982146603	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DRSV, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DTN4, Annotation: Proteasome component	-	BIOGRID
2910968	836746	844262	21988	29481	AT5G66140	AT1G79210	PAD2	AT1G79210	20S PROTEASOME SUBUNIT PAD2|K2A18.22|K2A18_22|proteasome alpha subunit D2	YUP8H12R.19|YUP8H12R_19	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.982146603	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DRSV, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DTN4, Annotation: Proteasome component	-	BIOGRID
2910974	844262	829257	29481	14543	AT1G79210	AT4G31300	AT1G79210	PBA1	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME SUBUNIT PBA1|F8F16.120|F8F16_120	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.981948052	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DTT6, Annotation: Proteasome component (By similarity)	-	BIOGRID
2911008	844262	821774	29481	7106	AT1G79210	AT3G22110	AT1G79210	PAC1	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME SUBUNIT PAC1|20S proteasome alpha subunit C1	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.98010656	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DU7U, Annotation: Proteasome component (By similarity)	-	BIOGRID
2911013	844262	841128	29481	26353	AT1G79210	AT1G47250	AT1G79210	PAF2	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME SUBUNIT PAF2|20S proteasome alpha subunit F2|F8G22.3|F8G22_3	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.97974581	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411E0JK, Annotation: Proteasome component	-	BIOGRID
2911014	844262	834290	29481	19540	AT1G79210	AT5G42790	AT1G79210	PAF1	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME SUBUNIT PAF1|ARS5|ARSENIC TOLERANCE 5|ATPSM30|MJB21.17|MJB21_17|proteasome alpha subunit F1	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.97974581	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411E0JK, Annotation: Proteasome component	-	BIOGRID
2911036	844262	841822	29481	27047	AT1G79210	AT1G53850	AT1G79210	PAE1	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME SUBUNIT PAE1|20S proteasome alpha subunit E1|ARABIDOPSIS 20S PROTEASOME ALPHA SUBUNIT E1|ATPAE1|T18A20.8|T18A20_8	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.976457792	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DXQY, Annotation: Proteasome component	-	BIOGRID
2911037	844262	820649	29481	5983	AT1G79210	AT3G14290	AT1G79210	PAE2	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME SUBUNIT PAE2|20S proteasome alpha subunit E2	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.976457792	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DXQY, Annotation: Proteasome component	-	BIOGRID
2911056	844262	825253	29481	10567	AT1G79210	AT3G60820	AT1G79210	PBF1	YUP8H12R.19|YUP8H12R_19	20S PROTEASOME BETA SUBUNIT PBF1	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.975538018	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DTN4, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DWEV, Annotation: Proteasome component (By similarity)	-	BIOGRID
2911084	837863	844262	23103	29481	AT1G13060	AT1G79210	PBE1	AT1G79210	20S PROTEASOME BETA SUBUNIT PBE1|20S proteasome beta subunit E1|F3F19.8|F3F19_8	YUP8H12R.19|YUP8H12R_19	Co-fractionation	physical	McWhite CD (2020)	32191846	3702	3702	High Throughput	0.973335498	-	-	Co-fractionation MS (CF-MS) was carried out to identify high confidence protein interactions having an interaction score above a 10% FDR threshold (CF-MS score >= 0.509).|Interactor A: Orthogroup ENOG411DPV8, Annotation: Proteasome component|Interactor B: Orthogroup ENOG411DTN4, Annotation: Proteasome component	-	BIOGRID
