#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
35306	35372	37662	61329	63268	Dmel_CG9259	Dmel_CG9888	CG9259	Fib	Dmel\CG9259	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
41374	40101	37662	65377	63268	Dmel_CG14089	Dmel_CG9888	CG14089	Fib	Dmel\CG14089	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
46541	39406	37662	64759	63268	Dmel_CG32105	Dmel_CG9888	CG32105	Fib	CG10432|CG17615|Dmel\CG32105	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
49982	32679	37662	59010	63268	Dmel_CG9099	Dmel_CG9888	CG9099	Fib	Dmel\CG9099	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Two-hybrid	physical	Giot L (2003)	14605208	7227	7227	High Throughput	-	-	-	-	-	BIOGRID
1105037	41860	37662	66923	63268	Dmel_CG6226	Dmel_CG9888	FK506-bp1	Fib	CG6226|Dmel\CG6226|FK506bp1|FKBP39|IFK506-bp1	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Affinity Capture-MS	physical	Edlich-Muth C (2015)	25813344	7227	7227	High Throughput	-	-	-	Table S3	-	BIOGRID
2311412	117332	37662	72870	63268	Dmel_CG1081	Dmel_CG9888	Rheb	Fib	CG1081|DReb|Dm Rheb|DmRheb|Dmel\CG1081|Q9VND8|dRheb	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
2314145	33139	37662	59412	63268	Dmel_CG17596	Dmel_CG9888	S6kII	Fib	CG17596|Dmel\CG17596|RSK|dRSK|ign|rsk2	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
2314718	3354896	37662	78021	63268	Dmel_CG17436	Dmel_CG9888	vtd	Fib	80Fh|CG17436|CG40222|DRAD21|DmRAD21|Dmel\CG17436|RAD21|Rad21/Scc1|Scc1|l(3)80Fh|l(3)Lh3|l3|lethal 3	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Affinity Capture-MS	physical	Ribeiro AL (2016)	27996020	7227	7227	High Throughput	-	-	-	-	-	FLYBASE
2318751	37662	34171	63268	60293	Dmel_CG9888	Dmel_CG17610	Fib	grk	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	CG17610|CT32746|Dmel\CG17610|s-Grk	Protein-RNA	physical	McDermott SM (2012)	23213441	7227	7227	Low Throughput	-	-	-	-	-	FLYBASE
2319296	38017	37662	63582	63268	Dmel_CG1210	Dmel_CG9888	Pdk1	Fib	1210|CG1201|CG1210|DSTPK61|Dmel\CG1210|PDK|PDK-1|PDK1/Pk61C|PK61C|Pk61C/PDK1|dPDK-1|dPDK1	CG9888|Dmel\CG9888|Fibri|GCR-6|GCR6|Pen59C5	Affinity Capture-MS	physical	Vinayagam A (2016)	27626673	7227	7227	High Throughput	-	-	-	SAINT score > 0.95	-	FLYBASE
