#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
82376	853271	856052	33591	36125	YJL168C	YPL055C	SET2	LGE1	EZL1|histone methyltransferase SET2|KMT3|L000003090	-	Synthetic Lethality	genetic	Krogan NJ (2003)	12773564	559292	559292	Low Throughput|High Throughput	-	-	inviable	High Throughput: SGA analysis|Low Throughput: Interaction confirmed by tetrad analysis.	-	BIOGRID
102236	851485	856052	31987	36125	YDL074C	YPL055C	BRE1	LGE1	E3 ubiquitin-protein ligase BRE1	-	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
109647	850728	856052	31315	36125	YLR039C	YPL055C	RIC1	LGE1	L000001638	-	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
109785	850966	856052	31529	36125	YLR262C	YPL055C	YPT6	LGE1	Rab family GTPase YPT6|L000002896|L000002948	-	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
110317	850774	856052	31358	36125	YLR085C	YPL055C	ARP6	LGE1	L000003435	-	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
113211	855305	856052	35441	36125	YMR263W	YPL055C	SAP30	LGE1	-	-	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
158154	854150	856052	34392	36125	YOL012C	YPL055C	HTZ1	LGE1	HTA3|histone H2AZ|H2AZ|H2A.F/Z|L000003930|L000004094	-	Synthetic Lethality	genetic	Hwang WW (2003)	12535538	559292	559292	Low Throughput	-	-	inviable	-	-	BIOGRID
165202	856052	850774	36125	31358	YPL055C	YLR085C	LGE1	ARP6	-	L000003435	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165203	850774	856052	31358	36125	YLR085C	YPL055C	ARP6	LGE1	L000003435	-	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165206	856052	854150	36125	34392	YPL055C	YOL012C	LGE1	HTZ1	-	HTA3|histone H2AZ|H2AZ|H2A.F/Z|L000003930|L000004094	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
165207	854150	856052	34392	36125	YOL012C	YPL055C	HTZ1	LGE1	HTA3|histone H2AZ|H2AZ|H2A.F/Z|L000003930|L000004094	-	Synthetic Lethality	genetic	Krogan NJ (2004)	15353583	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
