#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
568168	54487	4691	119986	110771	LP4941	-	DGCR8	NCL	C22orf12|DGCRK6|Gy1|pasha	C23	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568169	54487	3309	119986	109541	LP4941	-	DGCR8	HSPA5	C22orf12|DGCRK6|Gy1|pasha	BIP|GRP78|HEL-S-89n|MIF2	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568170	54487	3312	119986	109544	LP4941	-	DGCR8	HSPA8	C22orf12|DGCRK6|Gy1|pasha	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568171	54487	10236	119986	115530	LP4941	-	DGCR8	HNRNPR	C22orf12|DGCRK6|Gy1|pasha	HNRPR|hnRNP-R	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568172	54487	1655	119986	108021	LP4941	-	DGCR8	DDX5	C22orf12|DGCRK6|Gy1|pasha	G17P1|HLR1|HUMP68|p68	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568173	54487	10521	119986	115776	LP4941	RP3-434P1.1	DGCR8	DDX17	C22orf12|DGCRK6|Gy1|pasha	P72|RH70	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568174	54487	2521	119986	108797	LP4941	-	DGCR8	FUS	C22orf12|DGCRK6|Gy1|pasha	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568175	54487	3187	119986	109428	LP4941	-	DGCR8	HNRNPH1	C22orf12|DGCRK6|Gy1|pasha	HNRPH|HNRPH1|hnRNPH	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568176	54487	1660	119986	108025	LP4941	-	DGCR8	DHX9	C22orf12|DGCRK6|Gy1|pasha	DDX9|LKP|NDH2|NDHII|RHA	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568177	54487	3192	119986	109433	LP4941	RP11-11N7.3	DGCR8	HNRNPU	C22orf12|DGCRK6|Gy1|pasha	HNRPU|SAF-A|U21.1|hnRNP U	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568178	54487	3609	119986	109822	LP4941	-	DGCR8	ILF3	C22orf12|DGCRK6|Gy1|pasha	CBTF|DRBF|DRBP76|MMP4|MPHOSPH4|MPP4|NF-AT-90|NF110|NF110b|NF90|NF90a|NF90b|NFAR|NFAR-1|NFAR2|TCP110|TCP80	Affinity Capture-MS	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
568179	54487	4691	119986	110771	LP4941	-	DGCR8	NCL	C22orf12|DGCRK6|Gy1|pasha	C23	Affinity Capture-Western	physical	Shiohama A (2007)	17765891	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
