#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2576637	176464	174909	41656	40207	CELE_D2045.2	Y46G5A.13	D2045.2	tiar-2	-	CELE_Y46G5A.13	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.576	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2577847	179998	174909	44994	40207	T01C3.6	Y46G5A.13	rps-16	tiar-2	CELE_T01C3.6	CELE_Y46G5A.13	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.911	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2581020	174475	174909	39799	40207	D2013.2	Y46G5A.13	wdfy-2	tiar-2	CELE_D2013.2	CELE_Y46G5A.13	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.508	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2586081	180428	174909	45381	40207	CELE_F25E2.2	Y46G5A.13	F25E2.2	tiar-2	-	CELE_Y46G5A.13	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.543	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2587601	179795	174909	44813	40207	B0365.1	Y46G5A.13	acly-2	tiar-2	CELE_B0365.1	CELE_Y46G5A.13	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.509	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2591409	175608	174909	40844	40207	F10F2.2	Y46G5A.13	F10F2.2	tiar-2	CELE_F10F2.2	CELE_Y46G5A.13	Co-fractionation	physical	Hu LZ (2019)	31308550	6239	6239	High Throughput	0.622	-	-	High confidence protein interactions have an EPIC PPI score >= 0.5	-	BIOGRID
2835989	176138	174909	41344	40207	K12H4.8	Y46G5A.13	dcr-1	tiar-2	CELE_K12H4.8|eri-4|let-740	CELE_Y46G5A.13	Affinity Capture-MS	physical	Duchaine TF (2006)	16439208	6239	6239	High Throughput	-	-	-	-	-	WORMBASE
3386283	180510	174909	45456	40207	F52D2.4	Y46G5A.13	meg-3	tiar-2	gei-12|CELE_F52D2.4	CELE_Y46G5A.13	Affinity Capture-MS	physical	Cipriani PG (2021)	34223818	6239	6239	High Throughput	0.112399886	-	-	High confidence interactions were identified using a measure that combined fold-change of prey abundance as well as the p-value of a Student's t-test for experimental versus control purifications. Hit proteins were identified according to their p-value from the t SAM statistic as previously described (Chen et al., 2016). The t SAM statistic of the enrichment is provided in the score column.	-	BIOGRID
3704640	172532	174909	37974	40207	T23G11.3	Y46G5A.13	gld-1	tiar-2	CELE_T23G11.3	CELE_Y46G5A.13	Protein-RNA	physical	Theil K (2019)	31527589	6239	6239	High Throughput	-	-	-	RNA pulldowns of endogenous gld-1 were carried out to identify high confidence protein interactors that are greater than 4-fold enriched over controls in all replicates and p < 0.01|RNA pulldowns of exogenous gld-1 were carried out to identify high confidence protein interactors that are greater than 4-fold enriched over controls in all replicates and p < 0.01	-	BIOGRID

