#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
422924	10208	301	115503	106798	RP11-121O19.1	RP11-71A24.1	USPL1	ANXA1	C13orf22|D13S106E|bA121O19.1	ANX1|LPC1	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.81	-	-	exogenous expression of bait	-	BIOGRID
422975	10208	1152	115503	107572	RP11-121O19.1	-	USPL1	CKB	C13orf22|D13S106E|bA121O19.1	B-CK|BCK|CKBB|HEL-211|HEL-S-29	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	2.09	-	-	exogenous expression of bait	-	BIOGRID
423103	10208	3494	115503	109715	RP11-121O19.1	-	USPL1	IGHA2	C13orf22|D13S106E|bA121O19.1	-	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	2.7	-	-	exogenous expression of bait	-	BIOGRID
423111	10208	3799	115503	110000	RP11-121O19.1	-	USPL1	KIF5B	C13orf22|D13S106E|bA121O19.1	HEL-S-61|KINH|KNS|KNS1|UKHC	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	4.97	-	-	exogenous expression of bait	-	BIOGRID
423122	10208	3851	115503	110049	RP11-121O19.1	-	USPL1	KRT4	C13orf22|D13S106E|bA121O19.1	CK-4|CK4|CYK4|K4|WSN1	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.92	-	-	exogenous expression of bait	-	BIOGRID
423140	10208	3891	115503	110089	RP11-121O19.1	-	USPL1	KRT85	C13orf22|D13S106E|bA121O19.1	ECTD4|HB5|Hb-5|K85|KRTHB5|hHb5	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.02	-	-	exogenous expression of bait	-	BIOGRID
423222	10208	5226	115503	111247	RP11-121O19.1	-	USPL1	PGD	C13orf22|D13S106E|bA121O19.1	6PGD	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	2.56	-	-	exogenous expression of bait	-	BIOGRID
423227	10208	5304	115503	111321	RP11-121O19.1	-	USPL1	PIP	C13orf22|D13S106E|bA121O19.1	GCDFP-15|GCDFP15|GPIP4	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.02	-	-	exogenous expression of bait	-	BIOGRID
423230	10208	5313	115503	111330	RP11-121O19.1	-	USPL1	PKLR	C13orf22|D13S106E|bA121O19.1	PK1|PKL|PKR|PKRL|RPK	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	1.02	-	-	exogenous expression of bait	-	BIOGRID
423472	10208	8178	115503	113828	RP11-121O19.1	-	USPL1	ELL	C13orf22|D13S106E|bA121O19.1	C19orf17|ELL1|MEN|PPP1R68	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	9.58	-	-	exogenous expression of bait	-	BIOGRID
423894	10208	23379	115503	116955	RP11-121O19.1	-	USPL1	ICE1	C13orf22|D13S106E|bA121O19.1	KIAA0947	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	10.86	-	-	exogenous expression of bait	-	BIOGRID
