#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
321820	5930	4904	111865	110959	My038	-	RBBP6	YBX1	P2P-R|PACT|RBQ-1|SNAMA	BP-8|CSDA2|CSDB|DBPB|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1	Two-hybrid	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321821	5930	253461	111865	128969	My038	-	RBBP6	ZBTB38	P2P-R|PACT|RBQ-1|SNAMA	CIBZ|PPP1R171|ZNF921	Two-hybrid	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321822	5930	975	111865	107413	My038	-	RBBP6	CD81	P2P-R|PACT|RBQ-1|SNAMA	CVID6|S5.7|TAPA1|TSPAN28	Two-hybrid	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321823	5930	2113	111865	108414	My038	-	RBBP6	ETS1	P2P-R|PACT|RBQ-1|SNAMA	ETS-1|EWSR2|p54	Two-hybrid	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321824	5930	6208	111865	112122	My038	PRO2640	RBBP6	RPS14	P2P-R|PACT|RBQ-1|SNAMA	EMTB|S14	Two-hybrid	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321825	5930	59271	111865	121863	My038	PRED34	RBBP6	EVA1C	P2P-R|PACT|RBQ-1|SNAMA	B18|B19|C21orf63|C21orf64|FAM176C|SUE21	Two-hybrid	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321826	5930	221241	111865	128699	My038	-	RBBP6	LINC00305	P2P-R|PACT|RBQ-1|SNAMA	C18orf20|HsT1235|NCRNA00305	Two-hybrid	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321827	5930	119504	111865	125643	My038	-	RBBP6	ANAPC16	P2P-R|PACT|RBQ-1|SNAMA	APC16|C10orf104|CENP-27|MSAG|bA570G20.3	Two-hybrid	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321828	5930	4034	111865	110214	My038	-	RBBP6	LRCH4	P2P-R|PACT|RBQ-1|SNAMA	LRN|LRRN1|LRRN4|PP14183	Two-hybrid	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321829	5930	4904	111865	110959	My038	-	RBBP6	YBX1	P2P-R|PACT|RBQ-1|SNAMA	BP-8|CSDA2|CSDB|DBPB|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1	Reconstituted Complex	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321830	4904	5930	110959	111865	-	My038	YBX1	RBBP6	BP-8|CSDA2|CSDB|DBPB|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1	P2P-R|PACT|RBQ-1|SNAMA	Reconstituted Complex	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321831	5930	4904	111865	110959	My038	-	RBBP6	YBX1	P2P-R|PACT|RBQ-1|SNAMA	BP-8|CSDA2|CSDB|DBPB|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1	Affinity Capture-Western	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321832	4904	5930	110959	111865	-	My038	YBX1	RBBP6	BP-8|CSDA2|CSDB|DBPB|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1	P2P-R|PACT|RBQ-1|SNAMA	Affinity Capture-Western	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
321833	5930	4904	111865	110959	My038	-	RBBP6	YBX1	P2P-R|PACT|RBQ-1|SNAMA	BP-8|CSDA2|CSDB|DBPB|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1	Biochemical Activity	physical	Chibi M (2008)	18851979	9606	9606	Low Throughput	-	Ubiquitination	-	-	-	BIOGRID
