#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
574753	7532	23034	113364	116673	-	-	YWHAG	SAMD4A	14-3-3GAMMA|PPP1R170	SAMD4|SMAUG|SMAUG1|SMG|SMGA	Affinity Capture-MS	physical	Jin J (2004)	15324660	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
914118	7529	23034	113361	116673	RP1-148E22.1	-	YWHAB	SAMD4A	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	SAMD4|SMAUG|SMAUG1|SMG|SMGA	Affinity Capture-MS	physical	Couzens AL (2013)	24255178	9606	9606	High Throughput	0.99	-	-	-	-	BIOGRID
1038655	2801	23034	109063	116673	RP11-395P17.5	-	GOLGA2	SAMD4A	GM130	SAMD4|SMAUG|SMAUG1|SMG|SMGA	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1046259	23034	256646	116673	129174	-	-	SAMD4A	NUTM1	SAMD4|SMAUG|SMAUG1|SMG|SMGA	C15orf55|FAM22H|NUT	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1440056	7514	23034	113348	116673	-	-	XPO1	SAMD4A	CRM1|emb|exp1	SAMD4|SMAUG|SMAUG1|SMG|SMGA	Affinity Capture-MS	physical	Kirli K (2015)	26673895	9606	9606	High Throughput	-	-	-	Intreaction in the presence of RanGTP|Low Abundant Cargo	-	BIOGRID
2217548	55095	23034	120407	116673	-	-	SAMD4B	SAMD4A	SMGB|hSmaug2	SAMD4|SMAUG|SMAUG1|SMG|SMGA	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999999991	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999999991, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2225617	23034	3636	116673	109848	-	-	SAMD4A	INPPL1	SAMD4|SMAUG|SMAUG1|SMG|SMGA	OPSMD|SHIP2	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.9999457	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.9999457, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2227623	23034	10318	116673	115602	-	-	SAMD4A	TNIP1	SAMD4|SMAUG|SMAUG1|SMG|SMGA	ABIN-1|NAF1|VAN|nip40-1	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.99984588	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.99984588, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2235909	23034	7534	116673	113366	-	-	SAMD4A	YWHAZ	SAMD4|SMAUG|SMAUG1|SMG|SMGA	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.996991861	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.996991861, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2239757	23034	7531	116673	113363	-	-	SAMD4A	YWHAE	SAMD4|SMAUG|SMAUG1|SMG|SMGA	14-3-3E|HEL2|KCIP-1|MDCR|MDS	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.992584548	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.992584548, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
