#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
566535	6606	54960	112490	120298	-	-	SMN1	GEMIN8	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	FAM51A1	Affinity Capture-MS	physical	Fuller HR (2010)	19928837	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
739429	54960	351	120298	106848	-	-	GEMIN8	APP	FAM51A1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	21832049	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
796251	8487	54960	114059	120298	-	-	GEMIN2	GEMIN8	SIP1|SIP1-delta	FAM51A1	Affinity Capture-Western	physical	Piazzon N (2012)	23221635	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
796259	8487	54960	114059	120298	-	-	GEMIN2	GEMIN8	SIP1|SIP1-delta	FAM51A1	Affinity Capture-MS	physical	Piazzon N (2012)	23221635	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
796280	54960	26871	120298	117920	-	-	GEMIN8	RNU1-1	FAM51A1	HSD1|HU1-1|RNU1|RNU1A|RNU1A3|RNU1G4|Rnu1a1|U1|U1A1	Protein-RNA	physical	Piazzon N (2012)	23221635	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
796289	54960	6066	120298	111993	-	-	GEMIN8	RNU2-1	FAM51A1	RNU2|U2	Protein-RNA	physical	Piazzon N (2012)	23221635	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
856306	64210	54960	122103	120298	RP11-452K12.5	-	MMS19	GEMIN8	MET18|MMS19L|hMMS19	FAM51A1	Affinity Capture-MS	physical	Stehling O (2012)	22678362	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
890851	54960	6029	120298	111958	-	-	GEMIN8	RN7SL1	FAM51A1	7L1a|7SL|RN7SL|RNSRP1	Protein-RNA	physical	Piazzon N (2012)	23221635	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1188342	64805	54960	122309	120298	-	-	P2RY12	GEMIN8	ADPG-R|BDPLT8|HORK3|P2T(AC)|P2Y(12)R|P2Y(AC)|P2Y(ADP)|P2Y(cyc)|P2Y12|SP1999	FAM51A1	Affinity Capture-MS	physical	Huttlin EL (2015)	26186194	9606	9606	High Throughput	0.999555723	-	-	BioPlex 1.0 HEK 293T cells CompPASS score = 0.999555723, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.	-	BIOGRID
1454157	25929	54960	117429	120298	-	-	GEMIN5	GEMIN8	GEMIN-5	FAM51A1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1454158	79760	54960	122869	120298	-	-	GEMIN7	GEMIN8	SIP3	FAM51A1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	9606	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1468304	20595	54960	203344	120298	RP23-333E24.4	-	Smn1	GEMIN8	AI849087|Gemin1|Smn	FAM51A1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1468305	20637	54960	203376	120298	-	-	Snrnp70	GEMIN8	2700022N21Rik|3200002N22Rik|AI325098|R74807|Rnu1p70|Rnulp70|Snrp70|Srnp70|U1-70|U1-70K	FAM51A1	Affinity Capture-MS	physical	Hein MY (2015)	26496610	10090	9606	High Throughput	-	-	-	interaction detected by quantitative BAC-GFP interactomics (QUBIC)	-	BIOGRID
1522116	8239	54960	113867	120298	RP5-1172N10.4	-	USP9X	GEMIN8	DFFRX|FAF|FAM|MRX99	FAM51A1	Affinity Capture-Western	physical	Han KJ (2012)	23112048	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1522122	6607	54960	112491	120298	-	-	SMN2	GEMIN8	BCD541|C-BCD541|GEMIN1|SMNC|TDRD16B	FAM51A1	Affinity Capture-Western	physical	Han KJ (2012)	23112048	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1527370	6606	54960	112490	120298	-	-	SMN1	GEMIN8	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A	FAM51A1	Affinity Capture-Western	physical	Han KJ (2016)	26908624	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1527372	83737	54960	123747	120298	-	-	ITCH	GEMIN8	ADMFD|AIF4|AIP4|NAPP1|dJ468O1.1	FAM51A1	Affinity Capture-Western	physical	Han KJ (2016)	26908624	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2216794	79833	54960	122925	120298	-	-	GEMIN6	GEMIN8	-	FAM51A1	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	1.0	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 1.0, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2218261	54960	11171	120298	116342	-	-	GEMIN8	STRAP	FAM51A1	MAWD|PT-WD|UNRIP	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999999944	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999999944, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
2219697	54960	79760	120298	122869	-	-	GEMIN8	GEMIN7	FAM51A1	SIP3	Affinity Capture-MS	physical	Huttlin EL (2017)	28514442	9606	9606	High Throughput	0.999999491	-	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.999999491, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID
