#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
252226	8408	8831	113996	114358	-	DASS-97D12.6	ULK1	SYNGAP1	ATG1|ATG1A|UNC51|Unc51.1|hATG1	MRD5|RASA1|RASA5|SYNGAP	Two-hybrid	physical	Tomoda T (2004)	15014045	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252227	8408	8831	113996	114358	-	DASS-97D12.6	ULK1	SYNGAP1	ATG1|ATG1A|UNC51|Unc51.1|hATG1	MRD5|RASA1|RASA5|SYNGAP	Reconstituted Complex	physical	Tomoda T (2004)	15014045	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252228	9706	8831	115058	114358	-	DASS-97D12.6	ULK2	SYNGAP1	ATG1B|Unc51.2	MRD5|RASA1|RASA5|SYNGAP	Reconstituted Complex	physical	Tomoda T (2004)	15014045	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252229	8408	8831	113996	114358	-	DASS-97D12.6	ULK1	SYNGAP1	ATG1|ATG1A|UNC51|Unc51.1|hATG1	MRD5|RASA1|RASA5|SYNGAP	Affinity Capture-Western	physical	Tomoda T (2004)	15014045	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277098	8831	1742	114358	108086	DASS-97D12.6	-	SYNGAP1	DLG4	MRD5|RASA1|RASA5|SYNGAP	PSD95|SAP-90|SAP90	Two-hybrid	physical	Kim JH (1998)	9581761	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277099	8831	1741	114358	108085	DASS-97D12.6	RP11-291O7.3	SYNGAP1	DLG3	MRD5|RASA1|RASA5|SYNGAP	MRX|MRX90|NEDLG|PPP1R82|SAP102|XLMR	Two-hybrid	physical	Kim JH (1998)	9581761	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277100	1741	8831	108085	114358	RP11-291O7.3	DASS-97D12.6	DLG3	SYNGAP1	MRX|MRX90|NEDLG|PPP1R82|SAP102|XLMR	MRD5|RASA1|RASA5|SYNGAP	Affinity Capture-Western	physical	Kim JH (1998)	9581761	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
753317	113174	8831	125228	114358	-	DASS-97D12.6	SAAL1	SYNGAP1	SPACIA1	MRD5|RASA1|RASA5|SYNGAP	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.767	-	-	Denoised score >= 0.75	-	BIOGRID
2399543	84708	8831	124219	114358	UNQ574/PRO1136	DASS-97D12.6	LNX1	SYNGAP1	LNX|MPDZ|PDZRN2	MRD5|RASA1|RASA5|SYNGAP	Affinity Capture-Western	physical	Lenihan JA (2017)	29121065	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2399546	222484	8831	128798	114358	-	DASS-97D12.6	LNX2	SYNGAP1	PDZRN1	MRD5|RASA1|RASA5|SYNGAP	Affinity Capture-Western	physical	Lenihan JA (2017)	29121065	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2492006	6047	8831	111974	114358	RES4-26	DASS-97D12.6	RNF4	SYNGAP1	SLX5|SNURF	MRD5|RASA1|RASA5|SYNGAP	Affinity Capture-MS	physical	Kumar R (2017)	29180619	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
2549613	5159	8831	111185	114358	-	DASS-97D12.6	PDGFRB	SYNGAP1	CD140B|IBGC4|IMF1|JTK12|PDGFR|PDGFR-1|PDGFR1	MRD5|RASA1|RASA5|SYNGAP	Reconstituted Complex	physical	Valius M (1993)	7678051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
2549615	5159	8831	111185	114358	-	DASS-97D12.6	PDGFRB	SYNGAP1	CD140B|IBGC4|IMF1|JTK12|PDGFR|PDGFR-1|PDGFR1	MRD5|RASA1|RASA5|SYNGAP	Affinity Capture-Western	physical	Valius M (1993)	7678051	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
