#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
252281	27161	11218	118041	116387	-	-	AGO2	DDX20	EIF2C2|Q10	DP103|GEMIN3	Affinity Capture-Western	physical	Nelson PT (2004)	14970384	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252282	27161	50628	118041	119102	-	-	AGO2	GEMIN4	EIF2C2|Q10	HC56|HCAP1|HHRF-1|p97	Affinity Capture-Western	physical	Nelson PT (2004)	14970384	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
264351	23112	27161	116735	118041	RP5-1042K10.7	-	TNRC6B	AGO2	-	EIF2C2|Q10	Reconstituted Complex	physical	Till S (2007)	17891150	9606	9606	Low Throughput	-	-	-	Both proteins purified.	-	BIOGRID
264353	23112	27161	116735	118041	RP5-1042K10.7	-	TNRC6B	AGO2	-	EIF2C2|Q10	Affinity Capture-Western	physical	Till S (2007)	17891150	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
269163	818591	27161	3929	118041	AT2G40030	-	NRPD1B	AGO2	ATNRPD1B|DEFECTIVE IN MERISTEM SILENCING 5|DMS5|DRD3|NRPE1|T28M21.19|T28M21_19|nuclear RNA polymerase D1B	EIF2C2|Q10	Reconstituted Complex	physical	El-Shami M (2007)	17938239	3702	9606	Low Throughput	-	-	-	-	-	BIOGRID
269165	27327	27161	118141	118041	-	-	TNRC6A	AGO2	CAGH26|GW1|GW182|TNRC6	EIF2C2|Q10	Reconstituted Complex	physical	El-Shami M (2007)	17938239	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304067	27161	23405	118041	116978	-	-	AGO2	DICER1	EIF2C2|Q10	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	Affinity Capture-Western	physical	Doi N (2003)	12526743	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304068	23405	27161	116978	118041	-	-	DICER1	AGO2	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2	EIF2C2|Q10	Affinity Capture-Western	physical	Doi N (2003)	12526743	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304873	11218	27161	116387	118041	-	-	DDX20	AGO2	DP103|GEMIN3	EIF2C2|Q10	Affinity Capture-Western	physical	Mourelatos Z (2002)	11914277	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304877	27161	11218	118041	116387	-	-	AGO2	DDX20	EIF2C2|Q10	DP103|GEMIN3	Affinity Capture-Western	physical	Mourelatos Z (2002)	11914277	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304878	27161	50628	118041	119102	-	-	AGO2	GEMIN4	EIF2C2|Q10	HC56|HCAP1|HHRF-1|p97	Affinity Capture-Western	physical	Mourelatos Z (2002)	11914277	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304879	27161	11218	118041	116387	-	-	AGO2	DDX20	EIF2C2|Q10	DP103|GEMIN3	Reconstituted Complex	physical	Mourelatos Z (2002)	11914277	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304880	27161	50628	118041	119102	-	-	AGO2	GEMIN4	EIF2C2|Q10	HC56|HCAP1|HHRF-1|p97	Reconstituted Complex	physical	Mourelatos Z (2002)	11914277	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304881	11218	27161	116387	118041	-	-	DDX20	AGO2	DP103|GEMIN3	EIF2C2|Q10	Reconstituted Complex	physical	Mourelatos Z (2002)	11914277	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
304882	50628	27161	119102	118041	-	-	GEMIN4	AGO2	HC56|HCAP1|HHRF-1|p97	EIF2C2|Q10	Reconstituted Complex	physical	Mourelatos Z (2002)	11914277	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
438260	7157	27161	113010	118041	-	-	TP53	AGO2	BCC7|LFS1|P53|TRP53	EIF2C2|Q10	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
438285	8626	27161	114181	118041	-	-	TP63	AGO2	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	EIF2C2|Q10	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
438314	7161	27161	113014	118041	-	-	TP73	AGO2	P73	EIF2C2|Q10	Affinity Capture-Western	physical	Lunardi A (2010)	20308539	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
