#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
424388	27005	129831	117950	126210	RP11-297K8.3	-	USP21	RBM45	USP16|USP23	DRB1	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	2.56	-	-	exogenous expression of bait	-	BIOGRID
424389	9817	129831	115156	126210	-	-	KEAP1	RBM45	INrf2|KLHL19	DRB1	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	4.71	-	-	exogenous expression of bait	-	BIOGRID
686513	8452	129831	114030	126210	-	-	CUL3	RBM45	CUL-3|PHA2E	DRB1	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID
690593	55832	129831	120937	126210	-	-	CAND1	RBM45	TIP120|TIP120A	DRB1	Affinity Capture-MS	physical	Bennett EJ (2010)	21145461	9606	9606	High Throughput	-	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged CAND1|exogenous expression of bait	-	BIOGRID
946540	23435	129831	117003	126210	RP4-635E18.2	-	TARDBP	RBM45	ALS10|TDP-43	DRB1	Two-hybrid	physical	Hans F (2014)	24825905	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
1042919	7185	129831	113037	126210	-	-	TRAF1	RBM45	EBI6|MGC:10353	DRB1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1046746	25828	129831	117356	126210	RP5-1119A7.13-005	-	TXN2	RBM45	MT-TRX|MTRX|TRX2	DRB1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1047262	51072	129831	119263	126210	CGI-27	-	MEMO1	RBM45	C2orf4|MEMO|NS5ATP7	DRB1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1047924	55120	129831	120429	126210	-	-	FANCL	RBM45	FAAP43|PHF9|POG	DRB1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1050066	129831	129831	126210	126210	-	-	RBM45	RBM45	DRB1	DRB1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
