#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
120484	23283	29979	116881	119007	-	-	CSTF2T	UBQLN1	CstF-64T	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
590823	10898	23283	116104	116881	-	-	CPSF4	CSTF2T	CPSF30|NAR|NEB1	CstF-64T	Affinity Capture-Western	physical	Kaufmann I (2004)	14749727	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590824	53981	23283	119826	116881	-	-	CPSF2	CSTF2T	CPSF100	CstF-64T	Affinity Capture-Western	physical	Kaufmann I (2004)	14749727	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
606853	29894	23283	118946	116881	-	-	CPSF1	CSTF2T	CPSF160|HSU37012|P/cl.18	CstF-64T	Protein-RNA	physical	Murthy KG (1995)	7590244	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
720386	56893	23283	121223	116881	RP11-336K24.8	-	UBQLN4	CSTF2T	A1U|A1Up|C1orf6|CIP75|UBIN	CstF-64T	Two-hybrid	physical	Lim J (2006)	16713569	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
746123	1479	23283	107861	116881	-	-	CSTF3	CSTF2T	CSTF-77	CstF-64T	Co-fractionation	physical	Havugimana PC (2012)	22939629	9606	9606	High Throughput	0.969	-	-	Denoised score >= 0.75	-	BIOGRID
1044204	9146	23283	114593	116881	-	-	HGS	CSTF2T	HRS	CstF-64T	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1046443	23283	29979	116881	119007	-	-	CSTF2T	UBQLN1	CstF-64T	DA41|DSK2|PLIC-1|UBQN|XDRP1	Two-hybrid	physical	Rolland T (2014)	25416956	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1173976	23291	23283	116887	116881	-	-	FBXW11	CSTF2T	BTRC2|BTRCP2|FBW1B|FBXW1B|Fbw11|Hos	CstF-64T	Affinity Capture-MS	physical	Coyaud E (2015)	25900982	9606	9606	High Throughput	-	-	-	in the presence of MG132	-	BIOGRID
1260513	23283	1477	116881	107859	-	RP5-1167H4.1	CSTF2T	CSTF1	CstF-64T	CstF-50|CstFp50	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	1.0	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1260525	1478	23283	107860	116881	RP1-146H21.2	-	CSTF2	CSTF2T	CstF-64	CstF-64T	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	1.0	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
1260526	1479	23283	107861	116881	-	-	CSTF3	CSTF2T	CSTF-77	CstF-64T	Co-fractionation	physical	Wan C (2015)	26344197	9606	9606	High Throughput	1.0	-	-	Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.	-	BIOGRID
