#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
269657	10625	7431	115869	113272	RP4-635A23.5	RP11-124N14.1	IVNS1ABP	VIM	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	CTRCT30|HEL113	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
270449	10625	1107	115869	107532	RP4-635A23.5	-	IVNS1ABP	CHD3	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	Mi-2a|Mi2-ALPHA|ZFH	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270450	10625	5217	115869	111238	RP4-635A23.5	-	IVNS1ABP	PFN2	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	D3S1319E|PFL	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
423760	8237	10625	113866	115869	RP4-659F15.2	RP4-635A23.5	USP11	IVNS1ABP	UHX1	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	2.56	-	-	exogenous expression of bait	-	BIOGRID
610979	7428	10625	113269	115869	-	RP4-635A23.5	VHL	IVNS1ABP	HRCA1|RCA1|VHL1|pVHL	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	Affinity Capture-MS	physical	Lai Y (2011)	21942715	9606	9606	High Throughput	-	-	-	FLAG-VHL19 interacting proteins	-	BIOGRID
697276	196	10625	106699	115869	-	RP4-635A23.5	AHR	IVNS1ABP	bHLHe76	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	Two-hybrid	physical	Dunham EE (2006)	16582008	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
697278	10625	196	115869	106699	RP4-635A23.5	-	IVNS1ABP	AHR	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	bHLHe76	Two-hybrid	physical	Dunham EE (2006)	16582008	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
719549	2023	10625	108338	115869	-	RP4-635A23.5	ENO1	IVNS1ABP	ENO1L1|MPB1|NNE|PPH	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	Affinity Capture-Western	physical	Perconti G (2007)	17996313	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
719550	10625	2023	115869	108338	RP4-635A23.5	-	IVNS1ABP	ENO1	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	ENO1L1|MPB1|NNE|PPH	Affinity Capture-Western	physical	Perconti G (2007)	17996313	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
815676	57154	10625	121411	115869	-	RP4-635A23.5	SMURF1	IVNS1ABP	-	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	Affinity Capture-MS	physical	Xie Y (2013)	23184937	9606	9606	High Throughput	-	-	-	T-REx-293 cell line;  exogenous expression of bait	-	BIOGRID
838101	155030	10625	1205537	115869	HIV1gp2	RP4-635A23.5	gag	IVNS1ABP	-	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	Affinity Capture-MS	physical	Jaeger S (2012)	22190034	11676	9606	High Throughput	-	-	-	HIV1 gene: gag P04591|PRO_0000261216|P04591#PRO_0000261216|NP_057850.1, protein: gag P04591|NP_057850.1	-	BIOGRID
859579	9924	10625	115252	115869	-	RP4-635A23.5	PAN2	IVNS1ABP	USP52	FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	Affinity Capture-MS	physical	Bett JS (2013)	23398456	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
